Samples	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7	Ras1	Ras2	Ras3	Ras4	Ras5	Ras6	Ras7
Factors	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor
HMDB00468	0.32705	0.739088	0.522358	0.32705	0.700949	0.484642	0.445725	0.803017	0.996336	0.973435	1.251648	1.022047	1.072832	1.047485
HMDB0240296	1.046835	1.215191	0.924582	1.066073	0.899645	1.014619	1.156363	1.050609	0.96094	0.688144	1.071089	1.478233	0.985381	1.016403
HMDB02869	0.754344	0.824802	0.675387	0.534165	1.621761	0.697345	1.499699	1.16054	0.892862	1.631391	0.408718	1.174201	1.361088	1.035579
HMDB00535	0.325871	0.260164	0.535501	0.384278	0.603936	0.545671	0.322433	1.546931	1.389278	2.630141	1.339654	1.640662	0.36059	1.336953
HMDB00062	1.835681	1.508246	1.863427	1.858296	1.634539	1.652926	1.875673	0.50514	0.852581	0.525852	0.780779	0.592369	0.762646	0.618936
HMDB0000957	0.981517	0.720256	0.818964	0.720256	0.720256	1.007178	0.720256	0.720256	1.476182	0.720256	3.646306	4.23721	1.432069	1.593784
HMDB00518	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176	0.217176
HMDB00619	0.210578	0.554839	0.210578	0.281695	0.210578	0.210578	0.210578	0.210578	0.380298	0.210578	0.241574	0.210578	0.778929	0.836401
HMDB00067	1.192418	0.986999	1.139643	1.195122	0.98445	1.256634	1.169957	0.995941	1.004059	0.803392	0.921978	0.973767	1.037356	1.033113
HMDB00097	0.776251	0.934236	1.00981	1.111972	1.01111	0.579934	0.569722	0.836708	0.839232	0.915926	1.146309	1.340615	1.024454	1.222253
HMDB01565	0.30123	0.358409	0.474896	0.413881	0.563767	0.226216	0.272146	2.464831	3.036587	2.08121	3.517488	1.745548	1.999465	1.64211
HMDB00072	0.687105	1.082479	0.5956	1.093179	0.878731	1.823035	0.735226	4.006261	2.126632	1.127576	1.547643	0.513345	1.254552	0.977974
HMDB00094	0.737071	1.281942	0.829972	1.291035	0.848221	2.336688	0.717524	10.668195	3.321581	1.667402	1.836243	0.443846	1.528865	1.300406
HMDB00904	0.827799	0.88964	0.483934	0.689055	0.525156	0.465904	0.347229	1.44966	1.562065	1.061611	1.810575	2.498361	1.234544	1.43502
HMDB01547	0.335965	0.335965	1.25202	0.335965	0.978946	0.796554	0.833319	1.200801	1.752715	0.535865	1.32326	0.61703	0.335965	0.478261
HMDB00064	1.163006	0.992432	1.082639	0.926644	0.992576	1.226464	1.243715	2.154686	2.300131	1.459085	1.718051	1.608629	1.546013	1.992057
HMDB00574	0.992	1.150622	1.300145	1.302315	1.008	1.307534	1.636195	0.696101	1.038433	0.591479	0.553271	0.693597	0.309344	0.920432
HMDB00656	0.027028	0.039127	0.02156	0.025378	0.0236	0.031128	0.043336	1.066149	1.632094	0.815568	1.054981	1.02954	0.410872	1.377633
HMDB00089	4.312325	2.047065	3.268099	3.216272	2.555333	2.869075	2.743923	0.791061	0.918282	1.175389	1.241481	0.685657	0.706783	2.20042
HMDB01413	1.368606	1.507851	1.882696	1.770822	1.702554	1.134699	2.34698	0.2728	0.742066	0.555826	0.554509	0.160938	0.725648	0.144529
HMDB00095	1.594339	1.295651	0.812522	1.492165	0.782181	1.993771	2.123008	0.82521	0.479734	1.013956	0.900688	0.520681	1.586997	0.751278
HMDB01564	2.066362	1.432556	1.007284	1.424428	1.143554	2.474727	2.542788	0.321882	0.648505	0.64859	0.448003	0.321882	0.66725	0.321882
HMDB00630	5.440647	2.08475	1.209625	2.72635	1.341061	2.636636	1.882095	0.201017	0.801989	0.848159	1.881263	0.201017	0.608742	1.017778
HMDB03312	0.476878	0.476878	0.476878	0.476878	0.476878	0.476878	0.476878	0.476878	0.476878	0.476878	2.000115	0.476878	0.476878	0.538818
