samples	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7
factors	normal control	normal control	normal control	normal control	normal control	normal control	normal control	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor
HMDB00271	5.916401	3.493376	1.475162	2.034756	2.482814	3.625557	3.391493	0.404548	0.247202	0.362192	0.376001	0.357769	0.95135	0.966166
HMDB06088	1	0.849792	1.361856	1.110026	1.067836	0.771751	0.672104	1.738302	1.882991	1.657591	1.143819	1.354107	0.537988	0.811315
HMDB01068	0.300662	0.775703	0.466642	0.300662	1.231808	0.496479	0.300662	0.930781	0.300662	0.300662	3.164246	1.270982	0.852955	1.360284
HMDB03406	0.556721	0.557834	0.628288	0.615394	1.092706	0.711621	0.751819	2.030483	2.081197	2.354626	2.396435	1.911648	2.332128	2.355345
HMDB00247	5.069444	5.2961	3.269351	3.954077	1.158363	2.509546	2.466551	1.429478	0.978559	1.027548	1.021441	0.530788	0.903128	1.143788
HMDB01257	1.134457	0.856938	0.776432	0.705461	1.011307	0.726755	0.664527	0.971859	0.871214	1.01249	1.136029	1.158823	1.153257	1.116138
HMDB00269	0.647087	1.086369	0.571207	0.706642	0.327329	0.327329	0.327329	1.10924	1.311938	0.748313	0.815545	1.47544	0.742067	0.953003
HMDB00252	0.540834	0.51426	0.498622	0.523633	0.353916	0.150587	0.164403	7.373405	2.763906	4.153193	4.186687	3.830129	2.931023	3.870155
HMDB00256	1.022342	0.754581	1	1.354976	1.211807	0.646539	0.982434	0.974086	0.753295	1.347467	2.198388	0.879187	1.570627	1.021289
HMDB04827	1.756605	1.809207	1.419164	0.861673	1.864807	1.361193	1.053999	0.58002	1.203754	0.770194	0.918847	1.547301	0.919378	1.165125
HMDB00827	0.692844	0.817697	0.769237	0.865479	0.991557	0.871811	0.915161	0.883676	1.154791	1.185455	1.008443	1.101768	0.867373	0.795018
HMDB06547	0.794782	0.591155	1.710561	1.274376	1.145149	1.400959	1.117185	0.593635	2.551931	0.788486	0.670115	1.185388	1.728942	2.062732
HMDB01348	0.519108	0.341153	0.623714	0.433951	1.523093	1.672703	1.238747	1.610879	1.917207	2.413479	1.897815	2.330473	1.399723	1.734084
HMDB00848	0.029674	0.058091	0.029674	0.029674	0.029674	0.029674	0.029674	0.974869	0.537723	2.496524	1.586495	3.32155	1.025131	1.558581
