ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_51_P145520,Sigirr,24058,Mm.38017,mm|7qF5,1.67,0.026,11.387,11.308,11.004,10.9,12.799,12.512,12.619,12.759
A_52_P304947,2610510J17Rik,72155,Mm.23185,mm|8qE1,1.66,0,6.368,6.419,6.625,6.665,8.365,8.275,8.677,8.645
A_51_P437027,Cdk4,12567,Mm.6839,mm|10qD3,1.66,0,9.743,9.838,10.148,9.957,11.906,12.072,12.078,12.028
A_51_P432724,Wdr31,71354,Mm.155573,mm|4qB3,1.66,0.001,6.322,6.104,6.156,6.139,8.89,8.528,8.65,8.829
A_51_P368571,Hars2,66044,Mm.28109,mm|2qG1,1.66,0.002,10.284,10.106,10.106,9.925,11.884,11.936,12.016,12.1
A_51_P133936,Kitl,17311,Mm.45124,mm|10qD1,1.66,0.011,6.254,6.352,6.291,6.284,8.233,8.097,7.975,8.437
A_51_P216108,Rps6kl1,238323,Mm.44829,mm|12qD2,1.65,0,7.012,7.09,6.915,7.317,10.24,9.831,10.295,9.952
A_52_P272915,Taf5,226182,Mm.301522,mm|19qD1,1.65,0,8.863,8.183,8.569,8.434,10.387,9.98,10.266,10.174
A_52_P685539,2610318N02Rik,70458,Mm.234165,mm|16qA3,1.65,0,6.246,6.186,6.359,6.405,8.338,8.296,8.567,8.567
A_51_P190277,Nup62,18226,Mm.2565,mm|7qB3,1.65,0,9.783,9.688,9.795,9.789,12.027,11.955,11.894,12.119
A_51_P455027,Ebna1bp2,69072,Mm.29906,mm|4qD2.1,1.65,0.001,12.273,12.238,12.282,12.116,14.649,14.412,14.63,14.433
A_52_P418766,1810063B05Rik,67892,,mm|8qE2,1.65,0.001,8.604,8.653,8.343,8.516,10.453,9.989,10.551,10.334
A_52_P570266,Psmb10,19171,Mm.787,mm|8qD3,1.65,0.002,13.123,13.223,13.158,13.1,15.04,14.837,14.945,15.155
A_52_P682465,,NA,Mm.332735,mm|17qB1,1.65,0.004,8.253,7.992,7.761,7.637,10.069,9.738,9.938,9.71
A_51_P133252,Slc27a3,26568,Mm.45519,mm|3qF1,1.65,0.016,6.492,6.453,6.745,6.648,9.35,9.04,9.164,8.442
A_52_P184544,5730590G19Rik,77011,Mm.28132,mm|7qD2,1.64,0,6.02,6.153,6.08,5.968,8.363,7.965,8.323,8.258
A_52_P654604,,NA,Mm.425976,mm|16qC1.1,1.64,0.001,8.095,7.82,8.134,7.797,10.191,9.859,10.092,10.323
A_52_P103550,Tfdp1,21781,Mm.925,mm|8qA1.1,1.64,0.006,10.302,10.321,10.419,10.357,12.579,12.743,13.056,12.869
A_51_P404413,Bckdk,12041,Mm.425495,mm|7qF3,1.64,0.008,9.18,9.272,9.406,9.328,11.402,11.269,11.39,11.245
A_51_P468599,Smchd1,74355,Mm.194450,mm|17qE1.3,1.64,0.008,10.3,9.6,10.574,10.555,11.819,11.994,11.983,12.185
A_51_P519555,Gnb1l,13972,Mm.236139,mm|16qA3,1.63,0,9.901,9.909,9.739,9.672,11.804,11.738,11.747,11.853
A_52_P677147,Prmt5,27374,Mm.196585,mm|14qC1,1.63,0,10.363,10.455,10.262,10.127,12.124,12.119,12.379,12.25
A_52_P190647,Mxd3,17121,Mm.20350,mm|13qB1,1.63,0,6.948,6.916,6.83,6.963,9.104,8.619,9.547,9.247
A_52_P528634,Ttc27,74196,Mm.209503,mm|17qE2,1.63,0.001,10.076,10.303,10.387,10.251,11.848,12.061,12.385,12.299
A_52_P330984,Lin9,72568,Mm.275044,mm|1qH4,1.63,0.005,8.066,7.867,7.815,8.042,9.983,9.767,10.009,9.906
A_52_P197926,Rpl36a,19982,Mm.286408,mm|XqF1,1.63,0.033,13.226,13.159,13.025,12.864,15.815,15.628,15.789,15.688
A_51_P421559,Bspry,192120,Mm.29808,mm|4qB3,1.63,0.07,6.588,6.718,6.762,6.674,9.213,10.393,8.494,9.153
A_51_P281663,D2Wsu81e,227695,Mm.4449,mm|2qB,1.62,0.002,8.817,9.066,9.282,9.353,10.981,10.617,11.058,10.844
A_51_P176513,2610205E22Rik,66617,Mm.33167,mm|2qB,1.62,0.006,11.153,10.971,10.62,10.758,13.781,13.349,13.321,13.384
A_51_P272617,Hnrpa3,229279,Mm.379375,mm|2qC3,1.62,0.01,13.08,13.093,13.162,12.872,15.489,15.473,15.656,15.645
A_52_P646755,1700029F09Rik,75623,Mm.348017,mm|1qC1.1,1.61,0.001,8.621,8.533,8.816,8.757,10.48,10.747,10.847,10.73
A_52_P546552,Pelp1,75273,Mm.340601,mm|11qB3,1.61,0.001,9.747,9.311,9.469,9.551,11.684,11.337,11.653,11.634
A_52_P566055,Nup43,69912,Mm.299887,mm|10qA1,1.61,0.025,7.461,7.82,7.99,7.761,9.135,9.696,9.839,9.9
A_51_P494125,Akp2,11647,Mm.288186,mm|4qD3,1.61,0.051,9.692,9.505,10.357,10.366,11.591,11.271,11.784,11.894
A_51_P260178,Recql4,79456,Mm.18373,mm|15qD3,1.6,0,7.001,6.878,7.022,7.001,9.304,8.414,8.995,8.922
A_51_P333159,Rpa1,68275,Mm.180734,mm|11qB5,1.6,0,11.139,11.086,11.311,11.266,12.924,12.474,13.023,13.06
A_51_P381657,Usp1,230484,Mm.371692,mm|4qC6,1.6,0,9.881,10.222,10.003,10.155,11.823,11.931,12.219,12.123
A_51_P165683,Hirip3,233876,Mm.363427,mm|7qF3,1.6,0,10.584,10.336,10.516,10.549,12.157,11.987,12.456,12.245
A_52_P16472,Tera,56306,Mm.18637,mm|6qG3,1.6,0.001,7.131,6.951,6.945,7.227,9.821,9.841,9.974,9.926
A_51_P288447,Nup133,234865,Mm.267812,mm|8qE2,1.6,0.001,11.049,11.038,11.02,11.095,13.049,12.723,13.143,13.074
A_52_P510382,Fastkd2,75619,Mm.30965,mm|1qC2,1.59,0.001,9.795,9.931,10.21,9.719,11.364,11.359,11.796,11.435
A_52_P564005,Zfp251,71591,Mm.38195,mm|15qD3,1.59,0.004,7.953,8.343,8.015,8.498,10.478,10.001,10.337,10.366
A_52_P58024,LOC627520,627520,Mm.339215,mm|10qD1,1.59,0.032,8.823,8.991,8.9,8.953,10.895,10.97,11.105,10.921
A_52_P609138,Eef1g,67160,Mm.379129,,1.59,0.047,14.136,14.031,13.824,13.833,16.725,16.259,16.599,16.829
A_51_P518163,Rnu3ip2,27966,Mm.239997,mm|9qF1,1.58,0,9.008,8.968,9.155,9.144,10.988,10.786,11.021,10.876
A_52_P355057,Wdr4,57773,Mm.143771,mm|17qA3.3,1.58,0.001,10.916,10.724,10.56,10.576,12.721,12.484,12.858,12.502
A_51_P298355,Dek,110052,Mm.131150,mm|13qA5,1.58,0.001,10.14,10.153,9.915,10.124,12.171,11.569,12.128,11.855
A_52_P13448,2810417H13Rik,68026,,mm|9qC,1.58,0.006,9.188,8.862,9.108,9.011,10.215,10.53,10.474,10.538
A_52_P68101,Ak2,11637,Mm.29460,mm|4qD2.2,1.58,0.012,12.747,12.788,12.888,13.073,13.821,13.927,13.991,13.933
A_52_P201311,Tmpo,21917,Mm.159684,mm|10qC2,1.58,0.033,9.507,9.523,9.507,9.412,11.51,11.579,11.766,11.688
A_52_P537084,Rps24,20088,Mm.16775,mm|14qA3,1.57,0,7.675,7.586,7.703,7.663,9.503,9.16,9.469,9.551
A_51_P407606,Tmem48,72787,Mm.28478,mm|4qC7,1.57,0,8.682,8.928,9.051,9.037,10.831,10.707,10.763,10.827
A_51_P468362,0610010D24Rik,68339,Mm.156217,mm|12qE,1.57,0.001,7.368,8.037,7.711,8.161,10.453,9.869,10.277,10.301
A_51_P414518,Dynll1,56455,Mm.256858,mm|5qF,1.57,0.001,11.243,11.27,11.616,11.179,14.629,14.19,14.145,14.425
A_51_P100227,Ranbp5,70572,Mm.221452,mm|14qE5,1.57,0.032,9.688,9.549,9.348,9.751,12.24,11.548,12.031,11.598
A_51_P122238,Uchl5,56207,Mm.261004,mm|1qF,1.56,0,11.589,11.623,11.822,11.885,13.407,13.506,13.914,13.801
A_52_P509744,Nup160,59015,Mm.24532,mm|2qE1,1.56,0.001,8.364,8.459,8.173,8.181,10.507,10.174,10.268,10.453
A_52_P215829,Glt28d1,67574,Mm.249084,mm|XqF2,1.56,0.002,7.215,7.343,7.326,7.406,9.238,9.282,9.174,9.393
A_52_P590701,2310047C04Rik,224170,Mm.275138,mm|16qB5,1.56,0.002,6.728,6.618,6.762,6.899,8.596,8.364,8.567,8.647
A_52_P195922,Exosc6,72544,Mm.334810,mm|8qE1,1.56,0.004,11.476,11.287,11.381,11.319,13.904,13.239,13.464,13.337
A_51_P348976,Mrpl3,94062,Mm.29746,mm|9qF1,1.56,0.053,12.086,12.329,12.549,12.485,13.81,13.883,14.481,14.452
A_51_P475228,Armc6,76813,Mm.383251,mm|8qB3.3,1.55,0,10.154,10.02,10.229,10,12.255,11.813,11.702,11.88
A_52_P27602,Kif23,71819,Mm.259374,mm|9qB,1.55,0,7.675,7.441,7.784,7.478,9.382,9.232,9.312,9.401
A_51_P323620,Thyn1,77862,Mm.16925,mm|9qA4,1.55,0.001,12.529,12.653,12.66,12.518,14.714,14.806,14.69,14.597
A_51_P308447,Uble1a,56459,Mm.258530,mm|7qA1,1.55,0.002,11.177,11.35,11.213,11.085,13.301,13.406,13.706,13.538
A_52_P563617,Ssbp4,76900,Mm.6667,mm|8qB3.3,1.55,0.004,8.901,8.756,8.824,8.807,11.619,11.518,11.379,11.172
A_51_P338998,Prim2,19076,Mm.27705,mm|1qB,1.55,0.005,8.124,8.223,8.152,8.077,9.78,9.819,9.978,10.267
A_52_P528690,Rab34,19376,Mm.275864,mm|11qB5,1.55,0.011,10.165,10.437,10.204,10.422,13.095,12.689,13.035,12.86
A_51_P438057,Rpa3,68240,Mm.29073,mm|6qA1,1.55,0.012,9.589,9.363,9.793,9.345,10.847,10.957,10.741,11.103
A_51_P389265,Pnpla3,116939,Mm.390817,mm|15qE2,1.55,0.035,6.788,7.322,7.396,7.203,8.15,8.086,7.869,8.317
A_52_P153929,Brip1,237911,Mm.186143,mm|11qC,1.54,0,7.254,7.181,7.415,7.701,8.715,8.631,8.529,8.691
A_52_P962404,5430440L12Rik,71384,,mm|19qA,1.54,0,7.912,7.468,7.687,8.011,9.812,9.418,9.709,10.057
A_51_P495171,2610029G23Rik,67683,Mm.273405,mm|XqD,1.54,0.001,10.646,10.688,10.96,10.886,13.156,12.976,13.212,13.147
A_51_P499530,Ankrd10,102334,Mm.12459,mm|8qA1.1,1.54,0.003,9.814,9.702,9.251,9.338,11.577,11.059,11.422,11.132
A_51_P388432,Anp32b,67628,Mm.263913,mm|4qB1,1.54,0.019,13.492,13.287,13.299,13.337,15.428,15.417,15.889,15.984
A_51_P164420,Eef1e1,66143,Mm.36683,mm|13qA3.3,1.54,0.028,11.011,11.073,11.126,11.083,12.771,12.919,13.015,12.964
A_51_P170641,Wdr21,73828,Mm.38238,mm|12qD1,1.54,0.045,7.637,7.874,7.437,7.491,9.75,9.255,9.696,9.692
A_51_P472249,Slc7a7,20540,Mm.142455,mm|14qC1,1.54,0.048,10.046,10.995,10.554,10.714,12.735,12.432,12.047,12.675
A_51_P375187,Bxdc1,67239,Mm.11480,mm|10qB1,1.53,0,10.417,10.562,10.592,10.519,12.397,12.31,12.553,12.393
A_51_P428742,Pus7l,78895,Mm.34344,mm|15qE3,1.53,0,8.131,7.887,7.758,7.77,9.367,9.358,9.474,9.499
A_51_P483839,Coil,12812,Mm.268004,mm|11qC,1.53,0,10.481,10.445,10.223,10.068,12.308,11.747,11.899,11.959
A_51_P288026,6230416J20Rik,230376,Mm.74730,mm|4qC4,1.53,0,7.306,7.068,7.374,7.394,9.37,9.054,8.922,9.18
A_51_P430678,Xrcc6bp1,68876,Mm.276769,mm|10qD3,1.53,0.002,10.816,10.531,10.882,10.746,12.149,12.239,12.175,12.256
A_51_P431531,E2f8,108961,Mm.240566,mm|7qB3,1.53,0.008,7.779,7.544,7.769,7.764,9.514,8.668,9.127,9.027
A_51_P160344,Prr6,73139,Mm.390409,mm|11qB2,1.53,0.015,12.441,12.234,12.662,12.444,14.022,14.16,14.239,14.241
A_51_P489086,BC053440,234344,Mm.334561,mm|8qB3.1,1.53,0.045,9.881,8.465,9.689,9.408,11.342,11.134,11.362,11.16
A_52_P615274,Dleu8,67153,Mm.26040,mm|14qD1,1.53,0.078,9.575,9.741,9.658,9.768,11.359,11.84,11.92,11.945
A_52_P674886,,NA,,mm|2qH1,1.52,0,6.186,6.527,6.371,6.656,8.738,8.184,8.494,8.57
A_51_P380587,4933440J22Rik,74470,Mm.73234,mm|13qC1,1.52,0.001,6.576,6.718,6.453,6.857,8.738,8.337,8.693,8.645
A_51_P259230,Nup35,69482,Mm.29200,mm|2qC3,1.52,0.001,11.061,11.138,10.969,10.856,12.747,12.553,12.544,12.844
A_51_P408604,Trub1,72133,Mm.258404,mm|19qD2,1.52,0.002,10.481,10.127,10.484,10.309,12.07,11.774,12.044,11.826
A_51_P223144,Add3,27360,Mm.44106,mm|19qD2,1.52,0.003,6.882,7.317,6.993,7.198,8.845,8.685,8.792,8.825
A_51_P343900,Xrcc1,22594,Mm.4347,mm|7qA3,1.52,0.004,10.937,10.677,10.902,11.071,12.813,12.33,12.602,12.821
A_51_P186053,2810430M08Rik,67223,Mm.289841,mm|1qH5,1.52,0.008,10.674,11.214,10.776,10.981,12.781,12.409,12.894,12.588
A_52_P587611,E2f1,13555,Mm.18036,mm|2qH1,1.52,0.017,7.47,7.265,7.268,7.423,9.615,8.986,10.222,9.398
A_51_P130544,Gas5,14455,Mm.270065,mm|1qH2.1,1.52,0.06,9.096,9.316,8.994,8.782,10.466,10.666,10.98,10.599
A_51_P163261,LOC629581,629581,,mm|XqC3,1.52,0.081,7.246,7.256,7.156,7.03,8.886,9.344,9.63,9.364
A_51_P244356,Atad3a,108888,Mm.241152,,1.51,0.011,11.17,11.354,10.916,11.235,12.935,12.456,13.115,12.764
A_51_P419078,,NA,Mm.24627,mm|4qA5,1.51,0.012,8.949,8.844,8.783,8.774,11.206,10.2,11.061,10.619
A_51_P407351,Ly75,17076,Mm.2074,mm|2qC1.1,1.51,0.018,7.964,7.694,7.261,7.413,10.03,9.37,9.702,9.822
A_51_P489229,Eif3s4,53356,Mm.260064,mm|9qA3,1.51,0.077,14.405,14.472,14.451,14.567,16.77,16.675,16.711,16.74
A_51_P217369,1200003M09Rik,71718,Mm.288702,mm|17qA3.3,1.5,0,8.919,8.627,8.814,8.502,10.744,10.464,10.806,10.735
A_52_P537381,1500031M22Rik,66254,Mm.9563,,1.5,0.001,9.118,9.332,9.198,9.11,11.128,10.937,11.162,11.034
A_51_P451106,Brca2,12190,Mm.236256,mm|5qG3,1.5,0.001,7.297,7.37,7.148,7.483,9.709,9.034,9.57,9.537
A_51_P143103,Pprc1,226169,Mm.2415,mm|19qC3,1.5,0.002,9.46,8.7,8.737,8.39,11.495,10.988,11.034,11.118
A_51_P199098,1110004B13Rik,66910,Mm.33964,mm|11qB3,1.5,0.005,8.518,8.762,8.911,8.816,10.964,10.545,10.895,10.742
A_51_P314168,Qtrt1,60507,Mm.325205,mm|9qA3,1.5,0.008,9.474,9.678,9.373,9.437,11.855,11.63,11.642,11.555
A_52_P490863,Nola3,66181,Mm.272346,mm|2qE3,1.5,0.025,12.882,13.059,13.251,12.505,14.557,13.978,14.313,14.178
A_52_P127239,F730047E07Rik,212377,Mm.120919,mm|4qA3,1.49,0,6.088,6.283,6.371,6.405,8.211,8.15,8.48,8.328
A_51_P340704,Prpf31,68988,Mm.246863,mm|7qA1,1.49,0,11.585,11.619,11.776,11.476,13.488,13.469,13.624,13.62
A_52_P217838,Ybx1,22608,Mm.258204,mm|4qD2.1,1.49,0.004,7.101,6.951,6.986,6.949,8.791,8.237,8.534,8.512
A_51_P197259,Cct7,12468,Mm.289900,mm|6qC3,1.49,0.004,13.531,13.605,13.646,13.369,15.469,15.5,15.75,15.766
A_51_P218814,Rpl22l1,68028,Mm.371630,mm|3qA3,1.49,0.024,12.882,12.79,12.915,12.412,15.2,15.036,14.877,14.878
A_52_P537566,Cenpt,320394,Mm.334775,mm|8qD3,1.49,0.091,7.054,7.48,7.293,7.671,10.391,10.02,11.002,10.588
A_51_P397564,Wdr57,66585,Mm.423019,,1.48,0,10.83,11.002,10.786,10.846,12.742,12.756,13.132,12.979
A_51_P108252,Gpsm2,76123,Mm.226941,mm|3qF3,1.48,0,10.784,10.721,10.84,10.815,12.122,12.202,12.321,12.544
A_52_P144285,2700049P18Rik,108900,Mm.31278,mm|1qE4,1.48,0,8.358,8.516,8.784,8.861,9.586,9.806,9.97,9.956
A_51_P299432,Zmym1,68310,Mm.273806,mm|4qD2.2,1.48,0.001,8.423,8.679,8.825,8.663,10.057,10.164,10.264,10.333
A_51_P323081,Bhlhb9,70237,Mm.271980,mm|XqF1,1.48,0.005,8.197,8.212,7.494,7.657,10.352,10.411,10.642,10.725
A_51_P486217,Wnk4,69847,Mm.23656,mm|11qD,1.48,0.006,6.948,6.718,6.822,6.914,8.678,8.332,7.964,8.483
A_52_P196923,Gm8,194744,Mm.336014,mm|XqA3.1,1.48,0.022,5.836,5.766,5.883,5.806,8.219,8.203,7.754,7.927
A_51_P283708,Msh2,17685,Mm.4619,mm|17qE4,1.48,0.042,10.76,10.909,10.978,11.322,12.905,12.761,13.103,13.185
A_51_P332627,Mybbp1a,18432,Mm.147946,mm|11qB4,1.47,0,9.587,9.223,9.241,9.225,11.349,11.17,11.394,11.241
A_52_P1197950,,NA,Mm.268395,,1.47,0,8.106,7.953,7.845,7.813,9.365,9.395,9.745,9.602
A_52_P626756,Trnt1,70047,Mm.196332,mm|6qE1,1.47,0.001,10.608,10.572,10.623,10.512,12.435,12.357,12.584,12.461
A_51_P114878,Ikbkap,230233,Mm.282743,mm|4qB3,1.47,0.001,9.055,9.358,9.34,9.323,11.258,11.353,11.598,11.511
A_51_P333630,Spg3a,73991,Mm.394588,mm|12qC2,1.47,0.002,8.995,8.902,8.953,8.386,10.584,10.484,10.714,10.793
A_51_P238448,Ccnd3,12445,Mm.246520,mm|17qC,1.47,0.05,10.33,10.453,10.492,10.655,12.556,11.972,12.414,12.586
A_52_P12346,Rpl15,66480,Mm.387909,mm|14qA2,1.47,0.052,13.267,13.291,13.355,13.142,15.758,15.716,15.645,15.682
A_51_P115098,2010109N14Rik,69895,Mm.260791,mm|3qG1,1.46,0.001,8.389,8.423,8.027,8.17,10.062,10.01,10.57,9.976
A_52_P184149,Mthfd2,17768,Mm.443,mm|6qC3,1.46,0.002,7.067,7.204,7.194,7.03,8.898,9.136,8.742,8.397
A_52_P365768,Nsun2,28114,Mm.260009,mm|13qC1,1.46,0.002,12.94,13.167,13.066,13.145,14.967,14.895,15.352,15.117
A_51_P447714,Rbmxrt,19656,Mm.24718,mm|8qC1,1.46,0.003,10.974,11.041,11.297,11.002,13.04,12.733,12.744,12.749
A_52_P584078,Pop1,67724,Mm.248779,mm|15qB3.1,1.46,0.004,10.326,10.156,10.5,10.492,11.316,11.412,11.877,11.905
A_51_P371190,Pttg1,30939,Mm.6856,mm|11qB1.1,1.46,0.011,11.159,10.914,10.857,10.935,11.684,12.516,12.586,12.874
A_52_P125350,Anp32e,66471,Mm.218657,mm|3qF2.1,1.46,0.011,8.414,8.381,8.543,8.53,9.628,9.734,9.976,9.922
A_52_P71261,,NA,,mm|12qB3,1.46,0.011,7.368,7.038,6.976,7.134,8.881,8.829,9.153,8.905
A_51_P238933,Nudc,18221,Mm.69,mm|4qD3,1.46,0.038,13.621,13.567,13.489,13.618,15.393,15.192,15.845,15.455
A_52_P325574,Snx5,69178,Mm.273379,mm|2qG1,1.46,0.06,10.423,11.128,10.995,11.027,13.199,13.105,13.437,13.283
A_52_P8043,Sfrs2,20382,Mm.21841,mm|11qE2,1.46,0.081,10.085,10.109,9.798,9.825,11.537,11.609,11.913,11.822
A_52_P322962,,NA,,mm|1qC1.1,1.46,0.096,8.754,8.658,8.82,8.779,10.143,10.717,10.681,10.814
A_51_P519791,F630043A04Rik,219114,Mm.30173,mm|14qC3,1.45,0,6.121,6.139,6.255,6.096,8.118,7.78,8.016,7.995
A_51_P172752,Gpatc4,66614,Mm.46029,mm|3qF1,1.45,0,10.763,10.843,10.795,10.828,13.004,12.349,12.923,12.817
A_51_P336635,Xpo1,103573,Mm.217547,mm|11qA3.2,1.45,0,10.209,9.843,10.311,10.092,11.847,11.439,11.317,11.582
A_51_P133618,Clcn1,12723,Mm.424561,mm|6qB2.1,1.45,0,6.186,6.234,6.267,6.284,8.587,7.99,8.22,8.278
A_51_P415905,Pola1,18968,Mm.1923,mm|XqC3,1.45,0.001,8.392,8.439,8.473,8.413,9.989,10.104,10.156,10.029
A_51_P302651,Topbp1,235559,Mm.259893,mm|9qF1,1.45,0.002,9.018,9.021,8.862,8.793,11.386,11.263,10.712,10.641
A_51_P426633,Dnttip2,99480,Mm.278808,mm|3qG1,1.45,0.004,12.009,12.073,11.981,11.955,14.135,13.786,14.034,13.893
A_51_P104187,Sumo1,22218,Mm.362118,mm|1qC2,1.45,0.006,13.282,13.289,13.385,13.407,15.184,15.389,15.164,15.483
A_51_P437478,Zfp566,72556,Mm.295906,mm|7qA3,1.45,0.006,8.349,8.324,8.134,8.04,10.3,9.822,10.116,10.093
A_51_P419169,Suv39h2,64707,Mm.128273,mm|2qA1,1.45,0.011,5.74,5.968,6.025,6.065,7.984,7.891,8.263,8.043
A_51_P132459,Rpl27a,26451,Mm.305750,mm|7qE3,1.45,0.018,11.844,11.844,11.689,11.706,13.481,13.227,13.466,13.356
A_52_P619007,Mllt3,70122,Mm.288898,mm|4qC4,1.45,0.02,7.953,7.902,8.258,8.294,9.999,9.446,9.736,9.798
A_51_P331870,3732413I11Rik,74315,Mm.156771,mm|11qB1.1,1.45,0.022,10.235,9.797,9.77,9.974,12.23,11.267,11.729,11.805
A_51_P486132,Ppp1r8,100336,Mm.105230,mm|4qD2.3,1.45,0.023,9.819,10.089,9.704,10.204,11.587,11.519,11.934,11.66
A_52_P35057,Kctd17,72844,Mm.390816,mm|15qE1,1.45,0.023,8.298,8.541,8.37,8.396,11.088,10.783,10.699,10.617
A_51_P116245,Styk1,243659,,mm|6qF3,1.45,0.031,5.721,5.813,5.756,5.713,7.527,7.576,7.506,7.456
A_52_P101574,LOC384179,384179,Mm.319366,mm|5qB3,1.45,0.056,13.18,13.296,13.296,13.132,15.682,15.55,15.628,15.55
A_52_P674712,,NA,Mm.393162,mm|14qC3,1.44,0,7.227,7.322,7.34,7.266,9.172,8.773,9.004,8.926
A_51_P506674,Rpp38,227522,Mm.293948,mm|2qA1,1.44,0,9.223,8.945,9.099,8.794,10.691,10.816,10.971,10.645
A_51_P242796,Nat10,98956,Mm.288005,mm|2qE2,1.44,0,8.128,8.18,8.252,8.02,9.918,9.656,10.122,9.819
A_52_P434039,Lsm2,27756,Mm.165735,mm|17qB1,1.44,0,7.912,8.2,8.279,8.249,9.567,9.274,9.565,9.721
A_51_P221852,Tmed1,17083,Mm.196618,mm|9qA3,1.44,0,12.007,11.855,11.818,11.804,13.32,13.166,13.274,13.126
A_52_P415229,Polq,77782,Mm.259114,mm|16qB3,1.44,0.001,5.836,5.859,5.96,6.153,7.663,7.472,7.641,7.902
A_51_P399305,Tnfrsf19,29820,Mm.281356,mm|14qC3,1.44,0.004,8.635,8.49,8.466,8.835,9.859,9.725,9.406,9.341
A_51_P175699,1700020C11Rik,67900,Mm.41719,mm|11qA1,1.44,0.005,13.061,12.924,12.991,12.843,13.408,13.268,13.313,13.146
A_51_P152216,Tmem41a,66664,Mm.46480,mm|16qB1,1.44,0.013,10.128,10.43,10.582,10.674,13.251,13.182,13.253,13.192
A_51_P291339,Ssrp1,20833,Mm.219793,mm|2qD,1.44,0.073,12.247,12.208,12.409,12.464,14.427,14.319,14.474,14.52
A_51_P112445,Wdr3,269470,Mm.24591,mm|3qF2.2,1.43,0,10.509,10.227,10.487,10.054,12.222,12.114,12.203,12.138
A_51_P396385,Mars2,212679,Mm.19223,mm|1qC1.2,1.43,0,6.763,6.986,6.822,6.731,9.393,8.785,8.897,8.98
A_51_P121325,Mrps25,64658,Mm.87062,mm|6qD1,1.43,0,8.645,8.815,9.166,9.034,10.57,10.439,10.768,10.799
A_52_P1330,Nol9,74035,Mm.275803,mm|4qE2,1.43,0,9.199,9.194,8.688,8.885,11.071,10.508,10.796,10.704
A_51_P273639,Slc7a5,20539,Mm.27943,mm|8qE1,1.43,0.005,8.698,8.409,8.516,8.547,10.219,10.259,10.62,10.217
A_51_P409132,Tsr1,104662,Mm.220843,mm|11qB5,1.43,0.009,9.254,9.448,9.171,8.682,10.923,11.003,11.106,11.05
A_52_P351982,Cdc23,52563,Mm.196638,mm|18qB1,1.42,0,9.808,9.889,9.751,9.872,11.413,11.161,11.268,11.446
A_51_P190281,Orc2l,18393,Mm.3411,mm|1qC1.3,1.42,0,8.892,8.821,8.998,8.762,10.519,10.2,10.391,10.514
A_51_P308590,Ppif,105675,Mm.41656,mm|14qA3,1.42,0.001,10.015,10.265,9.992,10.029,11.945,11.433,11.858,11.617
A_51_P392546,BC023882,231123,Mm.319286,mm|5qB1,1.42,0.003,9.512,9.739,9.587,9.713,11.514,11.249,11.483,11.438
A_51_P214796,Suz12,52615,Mm.283410,mm|11qB5,1.42,0.004,10.196,9.706,9.536,9.392,11.56,11.159,11.327,11.208
A_51_P369252,4632434I11Rik,74041,Mm.26468,mm|7qE1,1.42,0.026,6.811,6.7,6.569,6.883,8.726,8.391,8.658,8.668
A_51_P238165,Sstr2,20606,Mm.430743,mm|11qE2,1.42,0.066,6.153,6.139,6.132,6.309,8.598,8.216,8.454,8.31
A_51_P485899,Sfrs1,110809,Mm.391719,mm|11qC,1.41,0,11.898,11.77,11.852,11.935,13.523,13.275,13.414,13.557
A_51_P359122,LOC664968,664968,Mm.292837,mm|7qA1,1.41,0,8.341,8.262,8.179,8.119,10.165,9.874,9.976,9.911
A_52_P536481,Gcs1,57377,Mm.28188,mm|6qC3,1.41,0,13.42,13.418,13.659,13.694,14.771,15.234,14.9,15.023
A_51_P250647,Mki67ip,67949,Mm.280311,mm|1qE2.3,1.41,0,11.416,11.683,11.454,11.407,13.229,12.91,13.279,13.086
A_52_P623751,Fem1b,14155,Mm.24069,mm|9qB,1.41,0.001,11.469,11.211,11.133,11.061,13.459,13.11,12.91,13.097
A_51_P406008,Brp16,59053,Mm.133202,mm|15qD3,1.41,0.002,9.474,9.427,9.195,9.159,11.769,11.115,11.399,11.337
A_51_P200044,Lsm7,66094,Mm.379101,mm|10qC1,1.41,0.002,12.862,12.578,12.627,12.315,14.798,14.346,14.363,14.412
A_51_P116616,Rbm14,56275,Mm.276338,mm|19qA,1.41,0.014,11.054,10.802,10.605,11.141,12.588,12.18,12.451,12.534
A_52_P50474,6430706D22Rik,381280,Mm.384762,mm|1qD,1.41,0.017,8.085,8.945,8.021,8.277,9.846,9.619,10.183,10.031
A_51_P127186,Rnasen,14000,Mm.293142,mm|15qA1,1.4,0,10.717,10.39,10.582,10.511,12.59,12.406,12.531,12.686
A_52_P470586,,NA,Mm.430222,mm|14qD2,1.4,0,6.641,6.468,6.482,6.493,8.401,8.327,8.717,8.468
A_51_P321385,Amot,27494,Mm.100068,mm|XqF2,1.4,0.001,9.921,9.613,9.48,9.492,11.85,11.217,11.479,11.705
A_51_P164270,Snrpa1,68981,Mm.821,mm|7qC,1.4,0.002,10.621,10.884,10.834,10.771,12.089,12.459,12.668,12.713
