ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_52_P559877,Gtdc1,227835,Mm.314312,mm|2qB,0.85,0.091,8.101,8.298,7.925,8.011,9.413,9.197,9.404,9.39
A_52_P612840,,NA,,mm|4qC4,0.84,0.003,8.506,8.269,8.2,8.181,9.142,9.352,9.553,9.469
A_51_P165914,6430601A21Rik,228491,Mm.132523,mm|2qE4,0.84,0.004,9.589,9.425,9.558,9.375,10.125,10.017,10.251,10.24
A_51_P189438,Pars2,230577,Mm.134029,mm|4qC7,0.84,0.004,8.631,8.821,8.864,8.82,9.712,9.524,9.753,9.889
A_52_P26386,LOC433801,433801,Mm.391397,mm|4qE2,0.84,0.005,6.186,6.186,6.325,6.358,7.567,7.426,7.382,7.514
A_51_P104747,Gtf2h4,14885,Mm.10182,mm|17qB1,0.84,0.005,11.337,11.247,11.34,11.345,12.282,12.031,12.098,12.206
A_52_P582281,Lrrc47,72946,Mm.268369,mm|4qE2,0.84,0.006,9.601,9.496,9.449,9.577,10.789,10.439,10.705,10.658
A_52_P268549,5930416I19Rik,72440,Mm.143908,mm|6qF3,0.84,0.014,10.713,10.38,10.367,10.47,11.996,11.676,12.084,12.097
A_51_P203771,Chchd6,66098,Mm.20313,mm|6qD1,0.84,0.03,10.333,10.459,10.615,10.45,12.034,11.741,11.811,11.922
A_52_P447138,Eprs,107508,Mm.154511,mm|1qH5,0.84,0.036,12.141,12.133,11.992,11.946,13.172,13.097,13.228,13.129
A_51_P371408,Jmjd5,77035,Mm.307239,mm|7qF3,0.84,0.039,7.041,6.986,7.009,7.057,7.979,7.84,8.026,7.982
A_51_P280304,Ptk9l,23999,Mm.274346,mm|9qF1,0.84,0.046,10.625,10.709,10.651,10.523,12.18,11.939,11.58,12.214
A_51_P427232,2410018M08Rik,71970,Mm.422716,mm|5qG1.3,0.84,0.068,7.429,7.673,7.815,7.934,8.644,8.557,8.666,8.459
A_52_P504302,Pmpca,66865,Mm.250359,mm|2qA3,0.83,0.017,10.917,10.834,10.641,10.699,12.006,11.753,11.762,12.112
