Gene	 Normal Control 1 	 Normal Control 2	 Normal Control 3	 Normal Control 4	 Myc Tumor 1 	 Myc Tumor 2	 Myc Tumor 3	 Myc Tumor 4
1110037F02Rik	522.7582084	505.6516411	489.4440026	629.9091685	632.5343422	716.0914344	789.6119426	811.2484464
Gm71	291.6309446	317.1452666	399.2088794	360.7861133	484.7173792	575.2319504	552.9479986	630.3459396
Chd5	65.61710322	58.04098105	68.83164099	59.83841266	73.21158229	68.02532316	66.85668882	68.54597268
Ash2l	685.4938916	972.8003921	897.6442586	941.6192473	1032.552914	1480.63467	1621.372653	1393.985655
Prmt8	54.83404511	58.04098105	57.48047186	57.68002961	66.71780869	54.41754624	55.94743171	55.56097457
Rnmt	193.6087037	231.5211207	254.5843632	273.2352865	434.1350219	356.8069731	431.7343284	360.5361221
A630082K20Rik	87.48719692	83.28587875	86.40243105	98.97553119	58.40419127	81.17704956	80.17052407	81.00842201
Baz2a	794.5531948	424.6116075	502.5070407	504.6012605	1114.36026	728.1036342	732.152313	831.1701309
Ssty1	52.74637344	58.04098105	62.24991663	68.40358344	55.29204399	59.46628315	54.30450571	59.01459955
Piwil2	58.76967439	58.04098105	62.24991663	61.18050033	65.43542596	73.16085347	65.39008529	70.18058167
4921515J06Rik	64.1776919	58.04098105	60.8000245	71.16026608	57.00434564	60.12945595	55.94743171	61.43547271
Smchd1	1260.691879	776.0468821	1524.372741	1504.42868	3613.046232	4079.000589	4048.018029	4656.402322
Smyd3	563.393848	572.8445957	574.435062	593.8686231	1581.414673	1415.405779	1655.441139	1844.482007
Ppm1d	174.2482069	167.1500527	171.8492804	161.5682601	248.9996665	238.0300653	273.9939068	306.129868
2810410M20Rik	5063.783469	4884.516341	5245.992392	3875.052121	9988.137731	11394.10511	11036.53746	11714.43701
Hdac1	1945.600784	2595.865645	2413.648707	2416.997055	6644.753658	6508.006606	6295.040743	7286.448075
Smyd5	178.2798695	172.0876793	180.268061	175.0957189	547.9878136	513.0657818	608.8740429	556.7940561
Cxxc6	1137.775338	1244.197675	1205.988137	1060.111282	392.0788473	610.9879004	740.3173348	718.5775237
Icmt	2036.674905	2149.819768	1940.213905	2256.701677	1186.091834	985.0137136	1112.816499	863.4686569
Cbll1	319.3511864	214.8223071	220.4029922	177.4169454	442.029854	307.1926739	301.4970341	309.7584868
Mllt6	121.600049	98.97553119	100.0099687	95.00950852	96.33579183	100.6358134	108.2332528	102.8929268
Whsc2	1061.581927	962.7383834	870.0774391	740.3173348	1390.126059	1389.162831	1380.523757	1518.046218
Uhrf1	259.9337218	220.8617842	246.4241774	264.8441809	4532.213158	3042.412382	3970.21109	4414.394962
Prmt7	2357.431278	1896.337454	2734.383725	2713.614371	13493.71523	12511.78494	15457.2923	13796.35943
Prdm9	61.81992505	56.21954997	54.0416568	52.45469489	61.13810793	56.21954997	57.68002961	60.08779183
F730014I05Rik	138.3328515	145.8154723	127.3804444	163.9372623	137.0919454	151.0623159	184.9510909	155.7404619
Wdr82	2730.595691	2191.951254	1944.252664	2190.432436	5260.557554	3688.964013	4969.896183	4582.756766
Rtf1	2052.263127	1699.624111	1676.224884	1599.050737	1942.905477	1549.943596	1770.57225	1613.524759
Gnas	55.63805185	50.52760875	55.71523605	59.01459955	60.50573547	57.08342524	53.44562684	54.30450571
Mto1	724.0773439	939.0121402	974.149915	991.8650258	779.281091	729.6192584	990.4909615	864.0673752
Rsl1	132.8818266	173.7657574	180.268061	177.4169454	135.9563759	193.8772884	182.152123	181.2704561
Gcg	57.12300617	56.21954997	54.0416568	56.80712559	60.8000245	56.21954997	56.37563994	58.32328196
Gata3	97.95179327	85.56803171	77.7084726	75.16556616	61.13810793	69.4546798	80.17052407	65.20903658
2610510H03Rik	410.7167572	210.8393004	226.913715	115.2801254	772.8260959	348.2549382	334.531905	202.2505758
5330426P16Rik	88.40156468	92.7965973	90.00916479	98.97553119	68.73628618	88.70847268	80.17052407	93.63655813
Apobec1	117.0515315	155.5247094	136.2393834	53.92939709	125.9755548	115.6001933	111.5850547	99.94067105
Hdac2	134.0846243	175.460199	151.5867663	115.2801254	197.1295166	239.0220659	298.1717981	238.5255499
Alkbh2	868.2700438	856.3163135	781.986559	954.1021996	1074.165071	942.9255139	966.0807689	954.1021996
