GeneName	Myc low 1	Myc low 2	Myc low 3	Myc high 1	Myc high 2	Myc high 3
Nop2	770.5266164	759.7701384	746.4455496	1285.158876	1145.18548	1143.545892
Trmt10c	194.440402	199.0107588	193.9864482	304.6620375	348.153903	292.9486274
Prmt5	315.626513	375.4735006	325.3966228	564.2684215	560.5496804	524.168794
2410127L17Rik	301.1565296	346.0630437	315.5632084	491.3211731	555.0755624	526.2612842
Mettl20	63.3061774	78.42788525	71.51574128	124.4394237	96.34447631	137.0581078
Dimt1	104.0030057	97.054508	107.2736119	160.9130479	166.4131864	192.509098
Wdr5	511.875663	512.7222998	515.807284	871.0759662	852.8675801	873.6146566
Suv420h2	163.6916873	129.4060107	185.0469806	287.497979	274.8007222	263.6537646
Trmt112	602.3130593	610.7571564	583.7472382	970.842056	1111.245948	996.0253331
Trmt11	63.3061774	86.27067378	52.7428592	110.4936263	123.7150662	119.2719411
Mettl1	68.73242118	82.34927952	91.18257014	145.8944968	131.3788313	149.613049
Carm1	785.9009737	767.6129269	778.6276332	1333.432791	1387.141494	1430.217049
Suv39h2	85.01115251	88.23137091	98.33414426	139.4579749	181.7407167	170.5379509
Rnmt	358.1320893	350.9647865	372.7758014	649.0159601	648.1355679	662.2731469
Prmt7	306.5827734	334.2988609	317.3511019	594.3055238	631.713214	600.5446861
Emg1	441.3344939	417.628489	438.0339154	792.7649496	948.1172328	825.4873821
Fbl	674.6629763	740.1631671	708.8997855	1397.79801	1557.933975	1419.754598
Gamt	56.97555966	63.72265677	58.10653979	114.7846409	126.999537	145.4280686
5830415F09Rik	12.66123548	12.74453135	15.19709502	39.69188516	31.74988424	28.24861764
Nsun2	998.428855	1053.874708	1038.766142	3027.310809	2961.497823	3058.174421
Dnmt3b	15.37435737	15.68557705	10.72736119	41.83739247	43.79294378	53.35849999
