pathway	NOP2	CHROMATIN_ORGANIZATION
TCGA.LG.A9QD.01A.11R.A38B.07	5.145254333	-0.336310198
TCGA.ZS.A9CF.01A.11R.A38B.07	5.139801811	-0.066446943
TCGA.WJ.A86L.01A.12R.A39D.07	5.138812779	-0.164618135
TCGA.ED.A459.01A.11R.A266.07	5.134220228	-0.084901948
TCGA.DD.AADK.01A.11R.A41C.07	5.133165638	-0.435100707
TCGA.DD.AAVS.01A.11R.A41C.07	5.127049709	-0.024935598
TCGA.DD.AADG.01A.11R.A41C.07	5.125733548	-0.093806241
TCGA.DD.A114.01A.11R.A131.07	5.125169156	0.095371682
TCGA.BC.A3KG.01A.11R.A213.07	5.123562539	0.126660818
TCGA.2Y.A9GS.01A.12R.A38B.07	5.123035505	0.022811453
TCGA.ZP.A9CY.01A.11R.A38B.07	5.113975049	-0.322409558
TCGA.DD.AADQ.01A.11R.A41C.07	5.110910681	-0.198407506
TCGA.DD.A73B.01A.12R.A32O.07	5.108172833	-0.065643684
TCGA.DD.A4NH.01A.11R.A27V.07	5.107983457	-0.157057123
TCGA.BC.4072.01B.11R.A155.07	5.105398249	-0.243218793
TCGA.DD.AAW3.01A.11R.A41C.07	5.102910134	-0.057317117
TCGA.DD.AADR.01A.11R.A41C.07	5.10167278	-0.354767045
TCGA.DD.A4NL.01A.11R.A28V.07	5.100858404	-0.371296828
TCGA.HP.A5MZ.01A.21R.A27V.07	5.098017337	-0.471105843
TCGA.CC.A3MA.01A.11R.A213.07	5.095344613	-0.086907645
TCGA.DD.AACH.01A.11R.A41C.07	5.095176084	0.086325321
TCGA.BC.A10Z.01A.11R.A131.07	5.094563335	-0.03350248
TCGA.BC.A10U.01A.11R.A131.07	5.093924996	-0.052701514
TCGA.DD.AADU.01A.11R.A41C.07	5.087375705	-0.178257326
TCGA.XR.A8TD.01A.12R.A39D.07	5.086572451	-0.350928435
TCGA.ED.A82E.01A.11R.A352.07	5.085184956	-0.135871778
TCGA.K7.A5RG.01A.11R.A28V.07	5.078889425	-0.050848717
TCGA.DD.AACQ.01A.11R.A41C.07	5.07762184	-0.072853696
TCGA.ED.A8O5.01A.11R.A36F.07	5.076437529	0.007968542
TCGA.DD.A1EE.01A.11R.A131.07	5.075579706	0.036608002
TCGA.5C.A9VH.01A.11R.A37K.07	5.075575041	-0.279284424
TCGA.2Y.A9GV.01A.11R.A38B.07	5.074918045	-0.31135415
TCGA.DD.A4NI.01A.11R.A27V.07	5.072284277	-0.301044297
TCGA.DD.AAEH.01A.11R.A41C.07	5.069925039	-0.28237554
TCGA.DD.A4NN.01A.11R.A28V.07	5.06960114	0.035702846
TCGA.EP.A2KC.01A.11R.A213.07	5.068903572	-0.1279148
TCGA.G3.AAV4.01A.11R.A38B.07	5.068861188	0.021408544
TCGA.BW.A5NP.01A.11R.A27V.07	5.068247781	0.046973495
TCGA.DD.AAC8.01A.11R.A41C.07	5.066628632	-0.012079254
TCGA.CC.A3MB.01A.11R.A213.07	5.059037565	0.071497479
TCGA.DD.A1EC.01A.21R.A131.07	5.052242559	-0.113859279
TCGA.ZS.A9CD.01A.11R.A37K.07	5.051695599	-0.389103904
TCGA.G3.A5SK.01A.11R.A27V.07	5.051519756	-0.386588918
TCGA.CC.A1HT.01A.11R.A131.07	5.051487925	-0.021284546
TCGA.K7.A6G5.01A.11R.A311.07	5.043560781	-0.422963541
TCGA.DD.AACT.01A.11R.A41C.07	5.043310764	-0.314393404
TCGA.MR.A520.01A.11R.A266.07	5.043119625	-0.339067049
TCGA.DD.AAW2.01A.11R.A41C.07	5.029764761	-0.046078537
TCGA.BC.4073.01B.02R.A131.07	5.029749089	-0.127403025
TCGA.DD.A3A7.01A.11R.A22L.07	5.029201383	-0.199849206
TCGA.DD.AAE9.01A.11R.A41C.07	5.02517222	-0.162827058
