pathway	NOP2	CENTROSOME_DUPLICATION
TCGA.MR.A8JO.01A.12R.A36F.07	5.180991439	-0.229131312
TCGA.G3.A3CH.01A.11R.A22L.07	5.17604814	-0.126774582
TCGA.2Y.A9HA.01A.11R.A39D.07	5.175535878	-0.239702713
TCGA.ED.A66X.01A.11R.A311.07	5.172974556	-0.07201157
TCGA.ED.A7PY.01A.11R.A33R.07	5.168559381	0.022338504
TCGA.CC.5264.01A.01R.A131.07	5.162466254	0.33399633
TCGA.RC.A7SF.01A.11R.A352.07	5.161029445	-0.174708183
TCGA.G3.A25Y.01A.11R.A16W.07	5.158650567	0.105134179
TCGA.DD.A1EF.01A.11R.A131.07	5.151843569	-0.171142312
TCGA.3K.AAZ8.01A.12R.A39D.07	5.150321021	-0.312359218
TCGA.LG.A9QD.01A.11R.A38B.07	5.145254333	-0.318463065
TCGA.ZS.A9CF.01A.11R.A38B.07	5.139801811	0.173525608
TCGA.WJ.A86L.01A.12R.A39D.07	5.138812779	-0.04943382
TCGA.ED.A459.01A.11R.A266.07	5.134220228	0.164909591
TCGA.DD.AADK.01A.11R.A41C.07	5.133165638	-0.351913115
TCGA.DD.AAVS.01A.11R.A41C.07	5.127049709	0.0418446
TCGA.DD.AADG.01A.11R.A41C.07	5.125733548	-0.094515321
TCGA.DD.A114.01A.11R.A131.07	5.125169156	0.273143503
TCGA.BC.A3KG.01A.11R.A213.07	5.123562539	0.391071703
TCGA.2Y.A9GS.01A.12R.A38B.07	5.123035505	0.159915157
TCGA.ZP.A9CY.01A.11R.A38B.07	5.113975049	-0.34480316
TCGA.DD.AADQ.01A.11R.A41C.07	5.110910681	-0.043801558
TCGA.DD.A73B.01A.12R.A32O.07	5.108172833	0.295740273
TCGA.DD.A4NH.01A.11R.A27V.07	5.107983457	0.175780528
TCGA.BC.4072.01B.11R.A155.07	5.105398249	0.062598103
TCGA.DD.AAW3.01A.11R.A41C.07	5.102910134	-0.104509618
TCGA.DD.AADR.01A.11R.A41C.07	5.10167278	0.054968625
TCGA.DD.A4NL.01A.11R.A28V.07	5.100858404	-0.202525829
TCGA.HP.A5MZ.01A.21R.A27V.07	5.098017337	-0.374775452
TCGA.CC.A3MA.01A.11R.A213.07	5.095344613	0.332693386
TCGA.DD.AACH.01A.11R.A41C.07	5.095176084	0.282724046
TCGA.BC.A10Z.01A.11R.A131.07	5.094563335	0.205966818
TCGA.BC.A10U.01A.11R.A131.07	5.093924996	-0.064299329
TCGA.DD.AADU.01A.11R.A41C.07	5.087375705	-0.326840333
TCGA.XR.A8TD.01A.12R.A39D.07	5.086572451	0.00291308
TCGA.ED.A82E.01A.11R.A352.07	5.085184956	-0.040243095
TCGA.K7.A5RG.01A.11R.A28V.07	5.078889425	0.126068509
TCGA.DD.AACQ.01A.11R.A41C.07	5.07762184	-0.112748527
TCGA.ED.A8O5.01A.11R.A36F.07	5.076437529	0.100810118
TCGA.DD.A1EE.01A.11R.A131.07	5.075579706	0.259807951
TCGA.5C.A9VH.01A.11R.A37K.07	5.075575041	-0.105528891
TCGA.2Y.A9GV.01A.11R.A38B.07	5.074918045	-0.190220264
TCGA.DD.A4NI.01A.11R.A27V.07	5.072284277	-0.29357005
TCGA.DD.AAEH.01A.11R.A41C.07	5.069925039	-0.392365494
TCGA.DD.A4NN.01A.11R.A28V.07	5.06960114	0.172269051
TCGA.EP.A2KC.01A.11R.A213.07	5.068903572	-0.104745189
TCGA.G3.AAV4.01A.11R.A38B.07	5.068861188	0.111961548
TCGA.BW.A5NP.01A.11R.A27V.07	5.068247781	0.211875766
TCGA.DD.AAC8.01A.11R.A41C.07	5.066628632	0.002813908
TCGA.CC.A3MB.01A.11R.A213.07	5.059037565	0.290017217
TCGA.DD.A1EC.01A.21R.A131.07	5.052242559	0.074922804
TCGA.ZS.A9CD.01A.11R.A37K.07	5.051695599	-0.498390542
TCGA.G3.A5SK.01A.11R.A27V.07	5.051519756	-0.232199175
TCGA.CC.A1HT.01A.11R.A131.07	5.051487925	0.310361449
TCGA.K7.A6G5.01A.11R.A311.07	5.043560781	-0.325102459
TCGA.DD.AACT.01A.11R.A41C.07	5.043310764	-0.36107539
TCGA.MR.A520.01A.11R.A266.07	5.043119625	-0.263437568
TCGA.DD.AAW2.01A.11R.A41C.07	5.029764761	0.128705715
TCGA.BC.4073.01B.02R.A131.07	5.029749089	0.067347541
TCGA.DD.A3A7.01A.11R.A22L.07	5.029201383	-0.290580748
TCGA.DD.AAE9.01A.11R.A41C.07	5.02517222	-0.046704694
TCGA.DD.AAW1.01A.11R.A41C.07	5.022360875	-0.16208087
TCGA.HP.A5N0.01A.11R.A28V.07	5.021179197	-0.390457962
TCGA.RC.A6M6.01A.11R.A32O.07	5.019249297	0.148632053
TCGA.BC.A3KF.01A.11R.A213.07	5.017878067	-0.193752236
TCGA.UB.A7MF.01A.11R.A33J.07	5.009602636	-0.158274881
TCGA.CC.A7IE.01A.21R.A38B.07	5.007815686	-0.005475828
TCGA.DD.AADL.01A.11R.A41C.07	5.003759114	0.212257397
TCGA.G3.A3CG.01A.11R.A213.07	5.003703643	-0.195481931
TCGA.CC.A7IK.01A.12R.A33R.07	5.002961059	0.181710305
TCGA.DD.A1EL.01A.11R.A155.07	4.998194261	0.306567986
TCGA.UB.A7MD.01A.12R.A352.07	4.997996742	-0.283297651
TCGA.GJ.A3OU.01A.31R.A38B.07	4.991241695	-0.113774994
TCGA.LG.A6GG.01A.11R.A311.07	4.988322319	-0.086992223
TCGA.CC.A7IF.01A.11R.A33J.07	4.98749516	-0.062410447
TCGA.CC.A3M9.01A.11R.A213.07	4.981000387	0.285101918
TCGA.DD.AACP.01A.11R.A41C.07	4.980784002	0.17066483
TCGA.DD.A3A8.01A.11R.A22L.07	4.979518483	-0.271079478
TCGA.G3.AAV2.01A.11R.A37K.07	4.979470941	-0.347895702
TCGA.RC.A6M4.01A.11R.A32O.07	4.979201655	0.028121246
TCGA.5R.AAAM.01A.12R.A41C.07	4.978753008	-0.415311414
TCGA.2Y.A9HB.01A.11R.A39D.07	4.977272169	-0.394129738
TCGA.DD.AAEG.01A.11R.A39D.07	4.973659403	-0.287268908
TCGA.DD.A3A4.01A.11R.A22L.07	4.972254285	-0.200722904
TCGA.DD.AADV.01A.11R.A39D.07	4.967288869	0.158720769
TCGA.2Y.A9GX.01A.11R.A38B.07	4.963938336	-0.177204229
TCGA.DD.A4NG.01A.11R.A27V.07	4.960815241	0.134912127
TCGA.DD.AACW.01A.11R.A41C.07	4.960107478	0.071346823
TCGA.DD.AAD3.01A.11R.A41C.07	4.958351256	-0.264532521
TCGA.DD.AAEK.01A.11R.A41C.07	4.957885472	-0.302200724
TCGA.2Y.A9H8.01A.11R.A39D.07	4.956425044	-0.23935591
TCGA.DD.A11C.01A.11R.A131.07	4.954193912	-0.121935612
TCGA.DD.AAVR.01A.11R.A41C.07	4.953987683	-0.413240665
TCGA.DD.AACA.01A.11R.A41C.07	4.951926219	0.284431365
TCGA.DD.A1EI.01A.11R.A131.07	4.951587429	-0.108120146
TCGA.2Y.A9H7.01A.11R.A39D.07	4.950861453	-0.183626944
TCGA.FV.A4ZQ.01A.11R.A266.07	4.947301676	0.198223805
TCGA.ZS.A9CE.01A.11R.A37K.07	4.946829429	-0.199641619
TCGA.G3.AAV1.01A.11R.A38B.07	4.946718999	0.123355369
TCGA.FV.A496.01A.11R.A266.07	4.94454236	-0.056073374
TCGA.BC.A10W.01A.11R.A131.07	4.944069856	0.335465654
TCGA.2Y.A9GT.01A.11R.A38B.07	4.932116555	-0.34550845
TCGA.DD.AAVQ.01A.11R.A41C.07	4.931896734	-0.313493025
TCGA.MI.A75G.01A.11R.A32O.07	4.929872651	-0.273922904
TCGA.EP.A3JL.01A.11R.A213.07	4.92890286	-0.339725994
TCGA.DD.A3A2.01A.11R.A213.07	4.928492641	-0.338719881
TCGA.DD.AAE7.01A.11R.A41C.07	4.928458574	-0.367101208
TCGA.DD.A73E.01A.12R.A32O.07	4.927751399	0.046362937
TCGA.2V.A95S.01A.11R.A37K.07	4.925750144	-0.04115457
TCGA.BC.A10Q.01A.11R.A131.07	4.924768948	0.137960204
TCGA.ZP.A9CZ.01A.11R.A38B.07	4.92401259	0.191709738
TCGA.G3.A25U.01A.11R.A16W.07	4.922234451	0.267276444
TCGA.DD.A39V.01A.11R.A213.07	4.908856324	-0.213126437
TCGA.G3.A25V.01A.11R.A16W.07	4.90380669	-0.451261928
TCGA.ED.A7XO.01A.11R.A352.07	4.902552349	-0.087262829
TCGA.RC.A7SB.01A.21R.A352.07	4.900866016	-0.326095917
TCGA.DD.A4NE.01A.11R.A27V.07	4.899591909	0.254312187
TCGA.DD.AAVV.01A.11R.A41C.07	4.899119582	-0.333654185
TCGA.2Y.A9GY.01A.11R.A38B.07	4.898472042	0.11718616
TCGA.K7.A5RF.01A.11R.A28V.07	4.897538693	-0.475857743
TCGA.G3.A7M8.01A.11R.A33R.07	4.896803904	-0.402132794
TCGA.DD.A11B.01A.11R.A131.07	4.893037589	-0.159787466
TCGA.G3.AAV6.01A.21R.A37K.07	4.892260124	0.021197334
TCGA.CC.A7IL.01A.11R.A33R.07	4.89104993	-0.027747908
TCGA.CC.5261.01A.01R.A131.07	4.888441648	-8.03E-04
TCGA.G3.A5SJ.01A.11R.A27V.07	4.885885058	0.082210722
TCGA.BD.A3EP.01A.11R.A22L.07	4.881133254	-0.188067841
TCGA.DD.A11D.01A.11R.A131.07	4.879643405	-0.304601493
TCGA.DD.AAD2.01A.11R.A41C.07	4.873602277	-0.346884454
TCGA.DD.AAVP.01A.11R.A41C.07	4.873515597	-0.280846124
TCGA.G3.AAV3.01A.11R.A37K.07	4.87152141	-0.187994348
TCGA.DD.AACJ.01A.11R.A41C.07	4.868312239	-0.304348913
TCGA.WX.AA44.01A.11R.A39D.07	4.866185336	-0.062033659
TCGA.G3.A3CI.01A.11R.A213.07	4.863470308	-0.364611885
TCGA.BW.A5NQ.01A.11R.A27V.07	4.860235449	0.247418459
TCGA.BC.A10Y.01A.11R.A131.07	4.860091969	0.212017757
TCGA.UB.AA0U.01A.11R.A38B.07	4.859459194	0.10247588
TCGA.DD.A1EH.01A.11R.A131.07	4.855302448	0.116815888
TCGA.DD.A1ED.01A.11R.A155.07	4.855142781	-0.350496563
TCGA.DD.A1EK.01A.11R.A213.07	4.851471357	-0.281865429
TCGA.FV.A23B.01A.11R.A16W.07	4.850301996	0.151600245
TCGA.DD.A3A6.01A.11R.A22L.07	4.848202594	-0.338207754
TCGA.KR.A7K2.01A.12R.A33R.07	4.847917148	-0.39370505
TCGA.G3.A5SM.01A.12R.A28V.07	4.847184896	-0.325090812
TCGA.ED.A5KG.01A.11R.A27V.07	4.846678775	0.196845542
TCGA.CC.A5UE.01A.11R.A28V.07	4.846324911	0.104968694
TCGA.DD.A1EG.01A.11R.A213.07	4.844224164	-0.221758651
TCGA.G3.AAV5.01A.11R.A37K.07	4.843275724	-0.218031568
TCGA.DD.AACS.01A.11R.A41C.07	4.843229696	0.333700518
TCGA.KR.A7K7.01A.11R.A33J.07	4.837165091	-0.098236402
TCGA.ED.A627.01A.12R.A311.07	4.834499243	-0.235445129
TCGA.MI.A75E.01A.11R.A32O.07	4.825935994	-0.462878689
TCGA.FV.A3R2.01A.11R.A22L.07	4.825464267	-0.115008125
TCGA.DD.AAVW.01A.11R.A41C.07	4.822849628	-0.126168365
TCGA.MI.A75H.01A.11R.A32O.07	4.815729083	-0.180810481
TCGA.BC.A10R.01A.11R.A131.07	4.814704959	-0.46947532
TCGA.DD.A115.01A.11R.A131.07	4.813973292	0.053700391
TCGA.DD.AADS.01A.11R.A41C.07	4.809426544	-0.409049029
TCGA.DD.A4NP.01A.11R.A28V.07	4.808339298	-0.275038847
TCGA.EP.A12J.01A.11R.A131.07	4.806885577	0.016680526
TCGA.2Y.A9H0.01A.11R.A38B.07	4.804794616	0.269484216
TCGA.EP.A26S.01A.11R.A16W.07	4.802260853	-0.129019573
TCGA.BC.A10T.01A.11R.A131.07	4.801259516	-0.111165503
TCGA.DD.AACG.01A.11R.A41C.07	4.800897616	-0.08503044
TCGA.CC.A5UD.01A.11R.A28V.07	4.796448739	0.351134255
TCGA.ED.A4XI.01A.11R.A266.07	4.795272887	-0.396127922
TCGA.UB.A7MA.01A.11R.A33R.07	4.791511353	0.023428965
TCGA.DD.AADO.01A.11R.A41C.07	4.780062859	-0.326637156
TCGA.MI.A75I.01A.11R.A32O.07	4.778533653	-0.234686736
TCGA.ZS.A9CG.01A.11R.A37K.07	4.774678689	-0.390388818
TCGA.5C.AAPD.01A.21R.A39D.07	4.773612629	-0.168155695
TCGA.RC.A6M5.01A.11R.A32O.07	4.771706314	-0.389065799
TCGA.BC.A110.01A.11R.A131.07	4.759510524	-0.455478982
TCGA.DD.A116.01A.11R.A131.07	4.759252081	-0.341379909
TCGA.G3.A25X.01A.11R.A16W.07	4.758387283	-0.234133617
TCGA.CC.A7IG.01A.11R.A33J.07	4.744977806	-0.032187862
TCGA.RC.A7SH.01A.11R.A38B.07	4.742234919	0.070941116
TCGA.DD.A73F.01A.11R.A32O.07	4.73211941	-0.071083931
TCGA.DD.A39X.01A.11R.A213.07	4.731575781	-0.387690957
TCGA.DD.AADM.01A.11R.A41C.07	4.728387673	-0.230792827
TCGA.G3.A25S.01A.11R.A16W.07	4.728236301	0.059204661
