pathway	NOP2	HISTONE_METHYLATION
TCGA.LG.A9QD.01A.11R.A38B.07	5.145254333	-0.390246197
TCGA.ZS.A9CF.01A.11R.A38B.07	5.139801811	-0.073444379
TCGA.WJ.A86L.01A.12R.A39D.07	5.138812779	-0.188351449
TCGA.ED.A459.01A.11R.A266.07	5.134220228	-0.12337589
TCGA.DD.AADK.01A.11R.A41C.07	5.133165638	-0.37623326
TCGA.DD.AAVS.01A.11R.A41C.07	5.127049709	0.122817671
TCGA.DD.AADG.01A.11R.A41C.07	5.125733548	-0.045065
TCGA.DD.A114.01A.11R.A131.07	5.125169156	0.105200808
TCGA.BC.A3KG.01A.11R.A213.07	5.123562539	0.15085418
TCGA.2Y.A9GS.01A.12R.A38B.07	5.123035505	0.092953105
TCGA.ZP.A9CY.01A.11R.A38B.07	5.113975049	-0.427640983
TCGA.DD.AADQ.01A.11R.A41C.07	5.110910681	-0.1197181
TCGA.DD.A73B.01A.12R.A32O.07	5.108172833	-0.047443524
TCGA.DD.A4NH.01A.11R.A27V.07	5.107983457	-0.068449062
TCGA.BC.4072.01B.11R.A155.07	5.105398249	-0.355368682
TCGA.DD.AAW3.01A.11R.A41C.07	5.102910134	0.001666096
TCGA.DD.AADR.01A.11R.A41C.07	5.10167278	-0.411974415
TCGA.DD.A4NL.01A.11R.A28V.07	5.100858404	-0.43700497
TCGA.HP.A5MZ.01A.21R.A27V.07	5.098017337	-0.522511901
TCGA.CC.A3MA.01A.11R.A213.07	5.095344613	0.066674832
TCGA.DD.AACH.01A.11R.A41C.07	5.095176084	0.183475522
TCGA.BC.A10Z.01A.11R.A131.07	5.094563335	0.007687487
TCGA.BC.A10U.01A.11R.A131.07	5.093924996	-0.073161058
TCGA.DD.AADU.01A.11R.A41C.07	5.087375705	-0.148106649
TCGA.XR.A8TD.01A.12R.A39D.07	5.086572451	-0.415497931
TCGA.ED.A82E.01A.11R.A352.07	5.085184956	-0.00219729
TCGA.K7.A5RG.01A.11R.A28V.07	5.078889425	-0.142352603
TCGA.DD.AACQ.01A.11R.A41C.07	5.07762184	0.163271324
TCGA.ED.A8O5.01A.11R.A36F.07	5.076437529	0.078509051
TCGA.DD.A1EE.01A.11R.A131.07	5.075579706	0.092621178
TCGA.5C.A9VH.01A.11R.A37K.07	5.075575041	-0.083915346
TCGA.2Y.A9GV.01A.11R.A38B.07	5.074918045	-0.316575436
TCGA.DD.A4NI.01A.11R.A27V.07	5.072284277	-0.36056701
TCGA.DD.AAEH.01A.11R.A41C.07	5.069925039	-0.244597845
TCGA.DD.A4NN.01A.11R.A28V.07	5.06960114	0.170031217
TCGA.EP.A2KC.01A.11R.A213.07	5.068903572	-0.203029238
TCGA.G3.AAV4.01A.11R.A38B.07	5.068861188	0.035936085
TCGA.BW.A5NP.01A.11R.A27V.07	5.068247781	0.123263543
TCGA.DD.AAC8.01A.11R.A41C.07	5.066628632	0.021139669
TCGA.CC.A3MB.01A.11R.A213.07	5.059037565	0.083745585
TCGA.DD.A1EC.01A.21R.A131.07	5.052242559	-0.23215334
TCGA.ZS.A9CD.01A.11R.A37K.07	5.051695599	-0.436982773
TCGA.G3.A5SK.01A.11R.A27V.07	5.051519756	-0.400330074
TCGA.CC.A1HT.01A.11R.A131.07	5.051487925	0.006344533
TCGA.K7.A6G5.01A.11R.A311.07	5.043560781	-0.478861865
TCGA.DD.AACT.01A.11R.A41C.07	5.043310764	-0.310639197
TCGA.MR.A520.01A.11R.A266.07	5.043119625	-0.381399662
TCGA.DD.AAW2.01A.11R.A41C.07	5.029764761	0.018714321
TCGA.BC.4073.01B.02R.A131.07	5.029749089	-0.112572928
TCGA.DD.A3A7.01A.11R.A22L.07	5.029201383	-0.098802302
TCGA.DD.AAE9.01A.11R.A41C.07	5.02517222	-0.181898849
TCGA.DD.AAW1.01A.11R.A41C.07	5.022360875	0.047064893
TCGA.HP.A5N0.01A.11R.A28V.07	5.021179197	-0.341181402
TCGA.RC.A6M6.01A.11R.A32O.07	5.019249297	-0.051184385
TCGA.BC.A3KF.01A.11R.A213.07	5.017878067	-0.159550626
TCGA.UB.A7MF.01A.11R.A33J.07	5.009602636	-0.180319132
TCGA.CC.A7IE.01A.21R.A38B.07	5.007815686	0.069862464
TCGA.DD.AADL.01A.11R.A41C.07	5.003759114	-0.066791599
TCGA.G3.A3CG.01A.11R.A213.07	5.003703643	-0.11771814
TCGA.CC.A7IK.01A.12R.A33R.07	5.002961059	0.185531956
TCGA.DD.A1EL.01A.11R.A155.07	4.998194261	-0.006142141
TCGA.UB.A7MD.01A.12R.A352.07	4.997996742	-0.329250365
TCGA.GJ.A3OU.01A.31R.A38B.07	4.991241695	-0.350185511
TCGA.LG.A6GG.01A.11R.A311.07	4.988322319	-0.255294142
TCGA.CC.A7IF.01A.11R.A33J.07	4.98749516	-0.130864815
TCGA.CC.A3M9.01A.11R.A213.07	4.981000387	0.130254488
TCGA.DD.AACP.01A.11R.A41C.07	4.980784002	0.092997461
TCGA.DD.A3A8.01A.11R.A22L.07	4.979518483	-0.136658069
TCGA.G3.AAV2.01A.11R.A37K.07	4.979470941	-0.03931462
TCGA.RC.A6M4.01A.11R.A32O.07	4.979201655	0.020551285
TCGA.5R.AAAM.01A.12R.A41C.07	4.978753008	-0.447489113
TCGA.2Y.A9HB.01A.11R.A39D.07	4.977272169	-0.223580239
TCGA.DD.AAEG.01A.11R.A39D.07	4.973659403	-0.14277007
TCGA.DD.A3A4.01A.11R.A22L.07	4.972254285	-0.29674881
TCGA.DD.AADV.01A.11R.A39D.07	4.967288869	-0.095355136
TCGA.2Y.A9GX.01A.11R.A38B.07	4.963938336	-0.346938263
TCGA.DD.A4NG.01A.11R.A27V.07	4.960815241	-0.027709029
TCGA.DD.AACW.01A.11R.A41C.07	4.960107478	0.1621683
TCGA.DD.AAD3.01A.11R.A41C.07	4.958351256	-0.182580373
TCGA.DD.AAEK.01A.11R.A41C.07	4.957885472	-0.175806004
TCGA.2Y.A9H8.01A.11R.A39D.07	4.956425044	-0.023118595
TCGA.DD.A11C.01A.11R.A131.07	4.954193912	-0.174101003
TCGA.DD.AAVR.01A.11R.A41C.07	4.953987683	-0.314767733
TCGA.DD.AACA.01A.11R.A41C.07	4.951926219	-0.028386977
TCGA.DD.A1EI.01A.11R.A131.07	4.951587429	-0.30911749
TCGA.2Y.A9H7.01A.11R.A39D.07	4.950861453	0.179582879
TCGA.FV.A4ZQ.01A.11R.A266.07	4.947301676	0.034302348
TCGA.ZS.A9CE.01A.11R.A37K.07	4.946829429	-0.179931807
TCGA.G3.AAV1.01A.11R.A38B.07	4.946718999	0.072474203
TCGA.FV.A496.01A.11R.A266.07	4.94454236	-0.051959976
TCGA.BC.A10W.01A.11R.A131.07	4.944069856	-0.042273311
TCGA.2Y.A9GT.01A.11R.A38B.07	4.932116555	-0.346261743
TCGA.DD.AAVQ.01A.11R.A41C.07	4.931896734	-0.010988599
TCGA.MI.A75G.01A.11R.A32O.07	4.929872651	-0.141126373
TCGA.EP.A3JL.01A.11R.A213.07	4.92890286	-0.434900123
TCGA.DD.A3A2.01A.11R.A213.07	4.928492641	-0.323715862
TCGA.DD.AAE7.01A.11R.A41C.07	4.928458574	-0.400242199
TCGA.DD.A73E.01A.12R.A32O.07	4.927751399	0.112718155
TCGA.2V.A95S.01A.11R.A37K.07	4.925750144	-0.228307654
TCGA.BC.A10Q.01A.11R.A131.07	4.924768948	-0.01778869
TCGA.ZP.A9CZ.01A.11R.A38B.07	4.92401259	-0.002192914
TCGA.G3.A25U.01A.11R.A16W.07	4.922234451	0.121252207
TCGA.DD.A39V.01A.11R.A213.07	4.908856324	-0.257488229
TCGA.G3.A25V.01A.11R.A16W.07	4.90380669	-0.481594433
TCGA.ED.A7XO.01A.11R.A352.07	4.902552349	-0.192957737
TCGA.RC.A7SB.01A.21R.A352.07	4.900866016	-0.362200666
