pathway	NOP2	CELL_CYCLE
TCGA.DD.A3A7.01A.11R.A22L.07	5.029201383	-0.197657978
TCGA.DD.AAE9.01A.11R.A41C.07	5.02517222	-0.152705598
TCGA.DD.AAW1.01A.11R.A41C.07	5.022360875	-0.157702788
TCGA.HP.A5N0.01A.11R.A28V.07	5.021179197	-0.349197219
TCGA.RC.A6M6.01A.11R.A32O.07	5.019249297	-0.036364744
TCGA.BC.A3KF.01A.11R.A213.07	5.017878067	-0.160867641
TCGA.UB.A7MF.01A.11R.A33J.07	5.009602636	-0.070444901
TCGA.CC.A7IE.01A.21R.A38B.07	5.007815686	-0.052083549
TCGA.DD.AADL.01A.11R.A41C.07	5.003759114	-0.064016726
TCGA.G3.A3CG.01A.11R.A213.07	5.003703643	-0.150590002
TCGA.CC.A7IK.01A.12R.A33R.07	5.002961059	0.10661342
TCGA.DD.A1EL.01A.11R.A155.07	4.998194261	0.034564856
TCGA.UB.A7MD.01A.12R.A352.07	4.997996742	-0.236315228
TCGA.GJ.A3OU.01A.31R.A38B.07	4.991241695	-0.207113733
TCGA.LG.A6GG.01A.11R.A311.07	4.988322319	-0.125691935
TCGA.CC.A7IF.01A.11R.A33J.07	4.98749516	-0.159447583
TCGA.CC.A3M9.01A.11R.A213.07	4.981000387	0.105359639
TCGA.DD.AACP.01A.11R.A41C.07	4.980784002	0.084508608
TCGA.DD.A3A8.01A.11R.A22L.07	4.979518483	-0.233098554
TCGA.G3.AAV2.01A.11R.A37K.07	4.979470941	-0.209915309
TCGA.RC.A6M4.01A.11R.A32O.07	4.979201655	-0.072728145
TCGA.5R.AAAM.01A.12R.A41C.07	4.978753008	-0.313305713
TCGA.2Y.A9HB.01A.11R.A39D.07	4.977272169	-0.259108162
TCGA.DD.AAEG.01A.11R.A39D.07	4.973659403	-0.204312653
TCGA.DD.A3A4.01A.11R.A22L.07	4.972254285	-0.187604666
TCGA.DD.AADV.01A.11R.A39D.07	4.967288869	-0.037151367
TCGA.2Y.A9GX.01A.11R.A38B.07	4.963938336	-0.223548591
TCGA.DD.A4NG.01A.11R.A27V.07	4.960815241	-0.073051031
TCGA.DD.AACW.01A.11R.A41C.07	4.960107478	0.040870279
TCGA.DD.AAD3.01A.11R.A41C.07	4.958351256	-0.128341715
TCGA.DD.AAEK.01A.11R.A41C.07	4.957885472	-0.092017372
TCGA.2Y.A9H8.01A.11R.A39D.07	4.956425044	-0.1364768
TCGA.DD.A11C.01A.11R.A131.07	4.954193912	-0.08449023
TCGA.DD.AAVR.01A.11R.A41C.07	4.953987683	-0.268429077
TCGA.DD.AACA.01A.11R.A41C.07	4.951926219	0.062251948
TCGA.DD.A1EI.01A.11R.A131.07	4.951587429	-0.12676203
TCGA.2Y.A9H7.01A.11R.A39D.07	4.950861453	-0.122284646
TCGA.FV.A4ZQ.01A.11R.A266.07	4.947301676	0.05230187
TCGA.ZS.A9CE.01A.11R.A37K.07	4.946829429	-0.258122771
TCGA.G3.AAV1.01A.11R.A38B.07	4.946718999	-0.036851143
TCGA.FV.A496.01A.11R.A266.07	4.94454236	-0.228920926
TCGA.BC.A10W.01A.11R.A131.07	4.944069856	0.086789176
TCGA.2Y.A9GT.01A.11R.A38B.07	4.932116555	-0.272197237
TCGA.DD.AAVQ.01A.11R.A41C.07	4.931896734	-0.157971163
TCGA.MI.A75G.01A.11R.A32O.07	4.929872651	-0.196312483
TCGA.EP.A3JL.01A.11R.A213.07	4.92890286	-0.303612155
TCGA.DD.A3A2.01A.11R.A213.07	4.928492641	-0.310907148
TCGA.DD.AAE7.01A.11R.A41C.07	4.928458574	-0.323738936
TCGA.DD.A73E.01A.12R.A32O.07	4.927751399	-0.018626104
TCGA.2V.A95S.01A.11R.A37K.07	4.925750144	-0.103319787
TCGA.BC.A10Q.01A.11R.A131.07	4.924768948	-0.009950732
TCGA.ZP.A9CZ.01A.11R.A38B.07	4.92401259	0.060450112
TCGA.G3.A25U.01A.11R.A16W.07	4.922234451	0.012128933
TCGA.DD.A39V.01A.11R.A213.07	4.908856324	-0.235022224
TCGA.G3.A25V.01A.11R.A16W.07	4.90380669	-0.347372982
TCGA.ED.A7XO.01A.11R.A352.07	4.902552349	-0.081799424
TCGA.RC.A7SB.01A.21R.A352.07	4.900866016	-0.236302825
TCGA.DD.A4NE.01A.11R.A27V.07	4.899591909	0.046390191
TCGA.DD.AAVV.01A.11R.A41C.07	4.899119582	-0.202195352
TCGA.2Y.A9GY.01A.11R.A38B.07	4.898472042	-0.011607422
TCGA.K7.A5RF.01A.11R.A28V.07	4.897538693	-0.345174768
TCGA.G3.A7M8.01A.11R.A33R.07	4.896803904	-0.305449693
TCGA.DD.A11B.01A.11R.A131.07	4.893037589	-0.149056251
TCGA.G3.AAV6.01A.21R.A37K.07	4.892260124	-0.031497863
TCGA.CC.A7IL.01A.11R.A33R.07	4.89104993	-0.109944253
TCGA.CC.5261.01A.01R.A131.07	4.888441648	-0.048311702
TCGA.G3.A5SJ.01A.11R.A27V.07	4.885885058	-0.137013907
TCGA.BD.A3EP.01A.11R.A22L.07	4.881133254	-0.231707684
TCGA.DD.A11D.01A.11R.A131.07	4.879643405	-0.242031836
TCGA.DD.AAD2.01A.11R.A41C.07	4.873602277	-0.208425066
TCGA.DD.AAVP.01A.11R.A41C.07	4.873515597	-0.178812508
TCGA.G3.AAV3.01A.11R.A37K.07	4.87152141	-0.146446305
TCGA.DD.AACJ.01A.11R.A41C.07	4.868312239	-0.251739815
TCGA.WX.AA44.01A.11R.A39D.07	4.866185336	-0.094590793
TCGA.G3.A3CI.01A.11R.A213.07	4.863470308	-0.366608667
TCGA.BW.A5NQ.01A.11R.A27V.07	4.860235449	0.065033383
TCGA.BC.A10Y.01A.11R.A131.07	4.860091969	0.010546779
TCGA.UB.AA0U.01A.11R.A38B.07	4.859459194	-0.022486117
TCGA.DD.A1EH.01A.11R.A131.07	4.855302448	-0.008059057
TCGA.DD.A1ED.01A.11R.A155.07	4.855142781	-0.309764643
TCGA.DD.A1EK.01A.11R.A213.07	4.851471357	-0.209372456
TCGA.FV.A23B.01A.11R.A16W.07	4.850301996	0.01565549
TCGA.DD.A3A6.01A.11R.A22L.07	4.848202594	-0.24016696
TCGA.KR.A7K2.01A.12R.A33R.07	4.847917148	-0.254973749
TCGA.G3.A5SM.01A.12R.A28V.07	4.847184896	-0.296297635
TCGA.ED.A5KG.01A.11R.A27V.07	4.846678775	-0.079472651
TCGA.CC.A5UE.01A.11R.A28V.07	4.846324911	0.007093354
TCGA.DD.A1EG.01A.11R.A213.07	4.844224164	-0.139208641
TCGA.G3.AAV5.01A.11R.A37K.07	4.843275724	-0.127718232
TCGA.DD.AACS.01A.11R.A41C.07	4.843229696	0.127426498
TCGA.KR.A7K7.01A.11R.A33J.07	4.837165091	-0.138292273
TCGA.ED.A627.01A.12R.A311.07	4.834499243	-0.255655127
TCGA.MI.A75E.01A.11R.A32O.07	4.825935994	-0.347157233
TCGA.FV.A3R2.01A.11R.A22L.07	4.825464267	-0.041444914
TCGA.DD.AAVW.01A.11R.A41C.07	4.822849628	-0.210197603
TCGA.MI.A75H.01A.11R.A32O.07	4.815729083	-0.238347156
TCGA.BC.A10R.01A.11R.A131.07	4.814704959	-0.258612054
TCGA.DD.A115.01A.11R.A131.07	4.813973292	-0.051327443
TCGA.DD.AADS.01A.11R.A41C.07	4.809426544	-0.33657556
TCGA.DD.A4NP.01A.11R.A28V.07	4.808339298	-0.318756882
TCGA.EP.A12J.01A.11R.A131.07	4.806885577	-0.031981046
TCGA.2Y.A9H0.01A.11R.A38B.07	4.804794616	0.041488216
TCGA.EP.A26S.01A.11R.A16W.07	4.802260853	-0.145970644
TCGA.BC.A10T.01A.11R.A131.07	4.801259516	-0.194905525
TCGA.DD.AACG.01A.11R.A41C.07	4.800897616	-0.144574072
TCGA.CC.A5UD.01A.11R.A28V.07	4.796448739	0.091863476
TCGA.ED.A4XI.01A.11R.A266.07	4.795272887	-0.340058957
TCGA.UB.A7MA.01A.11R.A33R.07	4.791511353	-0.021675728
TCGA.DD.AADO.01A.11R.A41C.07	4.780062859	-0.275181237
TCGA.MI.A75I.01A.11R.A32O.07	4.778533653	-0.131239627
TCGA.ZS.A9CG.01A.11R.A37K.07	4.774678689	-0.323619765
TCGA.5C.AAPD.01A.21R.A39D.07	4.773612629	-0.154982218
TCGA.RC.A6M5.01A.11R.A32O.07	4.771706314	-0.348175659
TCGA.BC.A110.01A.11R.A131.07	4.759510524	-0.311117391
TCGA.DD.A116.01A.11R.A131.07	4.759252081	-0.235029544
TCGA.G3.A25X.01A.11R.A16W.07	4.758387283	-0.130717218
TCGA.CC.A7IG.01A.11R.A33J.07	4.744977806	-0.029787393
TCGA.RC.A7SH.01A.11R.A38B.07	4.742234919	-0.080212916
TCGA.DD.A73F.01A.11R.A32O.07	4.73211941	-0.055309039
TCGA.DD.A39X.01A.11R.A213.07	4.731575781	-0.261747445
TCGA.DD.AADM.01A.11R.A41C.07	4.728387673	-0.202404361
TCGA.G3.A25S.01A.11R.A16W.07	4.728236301	-0.12074974
TCGA.FV.A2QQ.01A.11R.A22L.07	4.727596688	-0.289072617
TCGA.DD.A3A5.01A.11R.A22L.07	4.717025765	-0.181895912
TCGA.DD.A73C.01A.12R.A33J.07	4.703377197	-0.220466648
TCGA.DD.AADA.01A.11R.A41C.07	4.695909457	-0.258385606
TCGA.CC.5260.01A.01R.A131.07	4.692051753	0.040281417
TCGA.DD.A1EJ.01A.11R.A155.07	4.684412994	0.02159094
TCGA.NI.A4U2.01A.11R.A28V.07	4.680165253	-0.344336758
TCGA.DD.A3A9.01A.11R.A266.07	4.677238613	-0.220192265
TCGA.CC.A123.01A.11R.A131.07	4.67004353	-0.181902471
TCGA.5R.AA1D.01A.11R.A38B.07	4.657364512	-0.273190323
TCGA.DD.A4NA.01A.11R.A266.07	4.647230672	-0.079807921
TCGA.DD.AACE.01A.11R.A41C.07	4.646298904	-0.037841925
TCGA.DD.A39Y.01A.11R.A213.07	4.645839016	0.023085248
TCGA.DD.AADN.01A.11R.A41C.07	4.636409863	-0.115693998
TCGA.CC.5259.01A.31R.A213.07	4.630465636	-0.198119078
TCGA.DD.A4NB.01A.12R.A266.07	4.626830312	-0.291704763
TCGA.DD.A4NF.01A.11R.A27V.07	4.626091273	-0.209287303
TCGA.O8.A75V.01A.11R.A32O.07	4.622651291	-0.255354643
TCGA.DD.A118.01A.11R.A131.07	4.614967978	-0.155284483
TCGA.XR.A8TG.01A.11R.A36F.07	4.591538767	0.077673155
TCGA.DD.AAEE.01A.11R.A41C.07	4.580812493	-0.11087203
TCGA.GJ.A6C0.01A.12R.A311.07	4.579211628	-0.096552881
TCGA.BC.A69H.01A.11R.A311.07	4.578111062	-0.132404672
TCGA.2Y.A9GW.01A.11R.A38B.07	4.567182381	-0.266322764
TCGA.DD.AACO.01A.11R.A41C.07	4.55197135	-0.262837272
TCGA.G3.A3CK.01A.11R.A213.07	4.550461117	-0.148818728
TCGA.ZP.A9CV.01A.11R.A38B.07	4.533653809	-0.13777887
TCGA.DD.A39W.01A.11R.A213.07	4.53047886	-0.063603115
TCGA.T1.A6J8.01A.11R.A32O.07	4.530108853	-0.252685446
TCGA.2Y.A9H3.01A.11R.A38B.07	4.522106034	-0.349132314
TCGA.DD.AAE4.01A.11R.A41C.07	4.519208912	-0.238956875
TCGA.G3.A25T.01A.11R.A16W.07	4.517463851	-0.168964923
TCGA.DD.AAE3.01A.11R.A41C.07	4.516323479	-0.32403576
TCGA.WQ.AB4B.01A.11R.A41C.07	4.515949734	-0.254061271
TCGA.FV.A3R3.01A.11R.A22L.07	4.511568268	-0.298200525
TCGA.PD.A5DF.01A.11R.A27V.07	4.508927642	-0.114096587
TCGA.EP.A2KA.01A.11R.A180.07	4.503921158	-0.053325114
TCGA.G3.AAV0.01A.11R.A37K.07	4.500357919	-0.291394773
TCGA.BC.A10S.01A.22R.A131.07	4.498806284	-0.290753682
TCGA.DD.AACD.01A.11R.A41C.07	4.497724051	-0.307406493
TCGA.BW.A5NO.01A.11R.A27V.07	4.493598124	-0.194513929
TCGA.EP.A3RK.01A.11R.A22L.07	4.491500378	-0.151554744
TCGA.DD.AAC9.01A.11R.A41C.07	4.484716638	-0.378590761
TCGA.DD.AACB.01A.11R.A41C.07	4.471457226	-0.127001977
TCGA.2Y.A9H4.01A.11R.A38B.07	4.465343045	-0.184675101
TCGA.ES.A2HT.01A.12R.A180.07	4.460582155	-0.322137276
TCGA.DD.A73G.01A.22R.A32O.07	4.458514648	-0.28948106
TCGA.DD.AACC.01A.11R.A41C.07	4.451548226	-0.270218996
TCGA.G3.A5SI.01A.31R.A27V.07	4.450552221	0.142006735
TCGA.G3.A3CJ.01A.11R.A213.07	4.449162806	-0.267066567
