pathway	NOP2	DNA_METHYLATION
TCGA.MR.A520.01A.11R.A266.07	5.043119625	-0.448623306
TCGA.DD.AAW2.01A.11R.A41C.07	5.029764761	-0.169892234
TCGA.BC.4073.01B.02R.A131.07	5.029749089	-0.121364483
TCGA.DD.A3A7.01A.11R.A22L.07	5.029201383	-0.212821798
TCGA.DD.AAE9.01A.11R.A41C.07	5.02517222	-0.111809282
TCGA.DD.AAW1.01A.11R.A41C.07	5.022360875	-0.265246363
TCGA.HP.A5N0.01A.11R.A28V.07	5.021179197	-0.424147366
TCGA.RC.A6M6.01A.11R.A32O.07	5.019249297	-0.024869453
TCGA.BC.A3KF.01A.11R.A213.07	5.017878067	-0.142240575
TCGA.UB.A7MF.01A.11R.A33J.07	5.009602636	-0.246015605
TCGA.CC.A7IE.01A.21R.A38B.07	5.007815686	-0.010639214
TCGA.DD.AADL.01A.11R.A41C.07	5.003759114	-0.23515563
TCGA.G3.A3CG.01A.11R.A213.07	5.003703643	-0.253634146
TCGA.CC.A7IK.01A.12R.A33R.07	5.002961059	0.036987877
TCGA.DD.A1EL.01A.11R.A155.07	4.998194261	-0.056057611
TCGA.UB.A7MD.01A.12R.A352.07	4.997996742	-0.215114437
TCGA.GJ.A3OU.01A.31R.A38B.07	4.991241695	-0.277716308
TCGA.LG.A6GG.01A.11R.A311.07	4.988322319	-0.338698244
TCGA.CC.A7IF.01A.11R.A33J.07	4.98749516	-0.160893658
TCGA.CC.A3M9.01A.11R.A213.07	4.981000387	-0.081098167
TCGA.DD.AACP.01A.11R.A41C.07	4.980784002	0.019940795
TCGA.DD.A3A8.01A.11R.A22L.07	4.979518483	-0.333842854
TCGA.G3.AAV2.01A.11R.A37K.07	4.979470941	-0.267157226
TCGA.RC.A6M4.01A.11R.A32O.07	4.979201655	-0.166634273
TCGA.5R.AAAM.01A.12R.A41C.07	4.978753008	-0.307158438
TCGA.2Y.A9HB.01A.11R.A39D.07	4.977272169	-0.470271075
TCGA.DD.AAEG.01A.11R.A39D.07	4.973659403	0.081257586
TCGA.DD.A3A4.01A.11R.A22L.07	4.972254285	-0.301177923
TCGA.DD.AADV.01A.11R.A39D.07	4.967288869	-0.203811194
TCGA.2Y.A9GX.01A.11R.A38B.07	4.963938336	-0.207318756
TCGA.DD.A4NG.01A.11R.A27V.07	4.960815241	-0.290590047
TCGA.DD.AACW.01A.11R.A41C.07	4.960107478	-0.05840586
TCGA.DD.AAD3.01A.11R.A41C.07	4.958351256	-0.325401805
TCGA.DD.AAEK.01A.11R.A41C.07	4.957885472	-0.192707205
TCGA.2Y.A9H8.01A.11R.A39D.07	4.956425044	-0.117285553
TCGA.DD.A11C.01A.11R.A131.07	4.954193912	-0.127001461
TCGA.DD.AAVR.01A.11R.A41C.07	4.953987683	-0.339610645
TCGA.DD.AACA.01A.11R.A41C.07	4.951926219	-0.263429193
TCGA.DD.A1EI.01A.11R.A131.07	4.951587429	-0.273703186
TCGA.2Y.A9H7.01A.11R.A39D.07	4.950861453	-0.039428367
TCGA.FV.A4ZQ.01A.11R.A266.07	4.947301676	-0.196510282
TCGA.ZS.A9CE.01A.11R.A37K.07	4.946829429	-0.265900233
TCGA.G3.AAV1.01A.11R.A38B.07	4.946718999	-0.054840011
TCGA.FV.A496.01A.11R.A266.07	4.94454236	-0.324332058
TCGA.BC.A10W.01A.11R.A131.07	4.944069856	0.134270299
TCGA.2Y.A9GT.01A.11R.A38B.07	4.932116555	-0.310326668
TCGA.DD.AAVQ.01A.11R.A41C.07	4.931896734	-0.204474566
TCGA.MI.A75G.01A.11R.A32O.07	4.929872651	-0.271848544
TCGA.EP.A3JL.01A.11R.A213.07	4.92890286	-0.36997319
TCGA.DD.A3A2.01A.11R.A213.07	4.928492641	-0.363678758
TCGA.DD.AAE7.01A.11R.A41C.07	4.928458574	-0.423368374
TCGA.DD.A73E.01A.12R.A32O.07	4.927751399	-0.124996461
TCGA.2V.A95S.01A.11R.A37K.07	4.925750144	-0.340951204
TCGA.BC.A10Q.01A.11R.A131.07	4.924768948	-0.057101085
TCGA.ZP.A9CZ.01A.11R.A38B.07	4.92401259	0.128725331
TCGA.G3.A25U.01A.11R.A16W.07	4.922234451	-0.121836127
TCGA.DD.A39V.01A.11R.A213.07	4.908856324	-0.181650885
TCGA.G3.A25V.01A.11R.A16W.07	4.90380669	-0.283774983
TCGA.ED.A7XO.01A.11R.A352.07	4.902552349	-0.051752716
TCGA.RC.A7SB.01A.21R.A352.07	4.900866016	-0.21434074
TCGA.DD.A4NE.01A.11R.A27V.07	4.899591909	-0.012065673
TCGA.DD.AAVV.01A.11R.A41C.07	4.899119582	-0.298626933
TCGA.2Y.A9GY.01A.11R.A38B.07	4.898472042	0.10118729
TCGA.K7.A5RF.01A.11R.A28V.07	4.897538693	-0.248213836
TCGA.G3.A7M8.01A.11R.A33R.07	4.896803904	-0.301583228
TCGA.DD.A11B.01A.11R.A131.07	4.893037589	-0.299228644
TCGA.G3.AAV6.01A.21R.A37K.07	4.892260124	-0.218049664
TCGA.CC.A7IL.01A.11R.A33R.07	4.89104993	-0.244013522
TCGA.CC.5261.01A.01R.A131.07	4.888441648	-0.025053378
TCGA.G3.A5SJ.01A.11R.A27V.07	4.885885058	-0.288331172
TCGA.BD.A3EP.01A.11R.A22L.07	4.881133254	-0.178930445
TCGA.DD.A11D.01A.11R.A131.07	4.879643405	-0.374465012
TCGA.DD.AAD2.01A.11R.A41C.07	4.873602277	-0.271779012
