ID	Log2FoldChange	pvalue
propionylcarnitine	1.649303935	1.08302E-05
pseudouridine	2.767234476	1.81374E-08
putrescine	2.200035358	0.003212525
pyridoxate	-3.187656868	3.01812E-07
pyruvate	-4.459303622	0.000536584
ribitol	-1.728334268	0.001590951
riboflavin 	-1.107192762	0.000583719
ribose	-2.73833399	3.78276E-06
ribose-5-phosphate	-1.593131407	0.056756649
ribulose	-2.284653834	1.06458E-06
S-adenosylhomocysteine 	-2.295917381	6.6176E-09
S-adenosylmethionine 	1.772284569	1.32429E-05
S-methylglutathione	-3.911273628	1.73948E-09
sarcosine	-2.612783049	0.000432127
scyllo-inositol	0.417404328	0.142838842
sedoheptulose-7-phosphate	1.078892523	0.141015775
serine	1.653631864	4.789E-09
sorbitol	-1.753745778	0.001335679
spermidine	0.336578048	0.015181596
sphinganine	0.841483286	0.011507461
sphingosine	3.405902902	2.99371E-05
squalene	0.326636266	0.254829199
stachydrine	-0.511327521	0.042249122
stearate 	0.24011882	0.045950187
stearidonate	0.254062275	0.503018079
stearoyl-sphingomyelin	1.066433868	0.001945415
stearoylcarnitine	5.605987672	0.000858715
succinate	-1.272056001	0.048731888
succinylcarnitine	-2.086332776	0.121041989
tagatose	-1.000087454	0.149614615
taurine	0.345489293	0.016813471
tauro-beta-muricholate	0.813838093	0.280011265
taurochenodeoxycholate	-2.665464632	0.001592943
taurocholate	0.577855146	0.276604444
taurodeoxycholate	0.218841415	0.650415249
thiamin 	-2.100349758	7.47876E-07
threonate	0.03557808	0.948346413
threonine	0.955819475	5.6555E-06
thymidine	2.162360832	1.32111E-05
thymine	3.131319254	3.90493E-05
tiglyl-carnitine	-1.841283597	0.022452201
trans-4-hydroxyproline	0.479717765	0.403968966
trigonelline 	-1.957989649	5.36211E-06
tryptophan	0.899853353	1.90898E-05
tyrosine	1.760862095	6.64289E-09
UDP-galactose	0.042999925	0.942001871
UDP-glucuronate	2.953275026	0.000976632
uracil	0.421448944	0.086416853
urea	-0.261744906	0.293203714
uridine	-0.01104873	0.915942239
valerylglycine	-1.159761643	0.016970887
valine	0.433774893	0.00058951
xanthine	-0.23018284	0.197337092
xanthosine	-2.714488039	3.67854E-06
xylitol	-3.031250597	1.30901E-05
xylonate	-2.629362117	1.35062E-07
xylulose	-0.633214316	0.001183099
