ID	Log2FoldChange	pvalue
glycylproline	-0.04850025	0.829230274
glycylvaline	2.094371998	8.26381E-05
guanosine	2.059744409	0.024275704
guanosine-5'-monophosphate 	1.496205351	0.006287903
gulono-1,4-lactone	0.312969766	0.331716614
heme	-4.392223229	0.007053865
hippurate	-0.087173341	0.625935996
histidine	-0.105647561	0.642741643
homocitrulline	0.206196162	0.539799671
homoserine	1.105464498	0.012218922
hydroxyisovaleroyl-carnitine	1.029058694	0.000919015
hypotaurine	2.172449708	0.027136508
hypoxanthine	0.531718212	0.000463167
imidazole-lactate	-3.007976978	0.137109858
indolelactate	-0.405494695	0.168269703
inosine	1.597913344	3.65761E-06
inositol-1-phosphate 	0.318687635	0.018370793
fructose-1,6-diphosphate-glucose-1,6-diphosphate	1.600341339	0.023642337
ribulose-5-phosphate,xylulose-5-phosphate	0.344935729	0.49693775
isobutyrylcarnitine	-0.779277807	0.00197826
isoleucine	0.787081274	1.64804E-05
isovalerylcarnitine	-1.829705528	0.015075923
isovalerylglycine	-0.73767731	0.378758865
kynurenine	-1.735178881	0.017523333
lactate	0.20857424	0.088500901
laurylcarnitine	-0.377743412	0.668338948
leucine	0.99252618	2.28312E-06
linoleate 	0.462730498	0.00946679
linolenate	1.937817451	0.00016345
lysine	0.592886874	0.000199134
malate	1.172481411	0.000116674
malonylcarnitine	1.079936134	0.00045404
maltohexaose	1.336091325	0.288558146
maltopentaose	1.112818495	0.349342995
maltose	-0.508977951	0.490272533
maltose	-0.936383657	0.260062269
maltotetraose	0.353572164	0.797850476
maltotriose	0.060210434	0.957247572
mannitol	-0.877486081	0.399430702
mannose	0.374164618	0.332065068
mannose-6-phosphate	0.45052844	0.290969393
margarate 	0.003017565	0.985154293
methionine	1.16430395	1.33106E-05
methylglutaroylcarnitine	-0.850309725	0.157327348
methylphosphate	0.007644235	0.94201743
myo-inositol	0.846049557	0.005768859
myristate 	-0.047655789	0.627461358
myristoleate 	-0.238160516	0.399519409
N-acetylalanine	0.666814005	0.000194907
N-acetylasparagine	-0.821777365	0.02049373
N-acetylglucosamine-6-phosphate	-0.483895903	0.26432304
N-acetylglutamate	-0.693554063	0.092689142
N-acetylglutamine	-1.233783614	0.027671369
N-acetylglycine	0.656007308	0.013736114
N-acetylmethionine	0.445462275	0.271780743
N-acetylornithine	-0.687756049	0.067790392
N-acetylserine	-0.435777735	0.020544422
N-acetylthreonine	0.683642601	0.017350073
n-Butyl-Oleate	0.331074674	0.010138166
N-glycolylneuraminate	-1.502768496	0.000107925
N1-methyladenosine	1.245119242	0.000689068
N2-acetyllysine	-0.019936383	0.953878715
N6-acetyllysine	0.931897914	3.79886E-05
nicotinamide	0.004603545	0.976043879
nicotinamide-adenine-dinucleotide	-0.394323278	0.228311385
nonadecanoate 	0.088168399	0.662189763
oleate	0.649934072	7.3017E-05
oleoylcarnitine	-2.38461348	0.295737555
ophthalmate	-6.02283536	0.021187704
ornithine	0.239732166	0.208710027
orotate	-1.445271886	0.00023673
oxamate	0.923008044	0.002539425
